mode_mnlc_o,mode_mnlc_d,1,2,3,4,5,6,7,8,mode
6872,6888,0.0,1.9860001,71.905,26.501,16.887,8.448,4.001,0.007,EZL
6872,6893,0.0,0.082,5.074,7.723,11.407,1.064,1.84,0.0,EZL
6872,6965,2.316,276.812,766.453,163.273,106.014,29.223,7.697,0.0,EZL
6872,6970,0.005,0.08400001,4.029,6.239,4.772,3.289,1.9929999,0.0,EZL
6874,719,0.0,664.711,1939.863,944.786,519.223,198.195,38.609,0.0,EZL
6874,6872,0.0,3.277,121.507,13.577,12.041,10.543,1.734,0.0,EZL
6874,6876,0.0,12.581,53.261,30.15,14.795,9.655,3.8899999,0.0,EZL
6874,6877,0.0,1.602,27.342,13.989,12.377,7.188,1.941,0.0,EZL
6874,6878,0.0,0.442,9.167,9.006,6.59,6.204,1.118,0.0,EZL
6874,6879,0.0,8.965,48.241,20.854,15.869,6.61,3.802,0.0,EZL
6874,6881,0.0,16.105999,74.864,80.407,45.458,16.3,4.222,0.0,EZL
6874,6883,0.0,6.68,40.804,28.717001,20.135,16.034,2.608,0.0,EZL
6874,6886,0.0,10.809,94.437,131.323,58.157,23.604,5.477,0.0,EZL
6874,6888,0.0,4.268,16.418,5.51,4.06,2.2810001,0.21599999,0.0,EZL
6874,6893,0.0,0.95,22.611,10.691,10.145,3.892,0.51,0.0,EZL
6874,6965,0.0,421.731,993.725,269.494,143.023,60.424,23.778,0.0,EZL
6874,6970,0.0,4.161,32.09,22.701,6.2539997,6.1219997,1.65,0.0,EZL
6876,719,0.0,460.783,1283.688,1202.754,659.035,266.147,69.205,0.0,EZL
6876,6872,0.0,1.06,7.035,6.703,2.46,3.285,1.095,0.977,EZL
6876,6874,0.0,2.589,24.47,28.59,46.796,15.456,4.642,0.013,EZL
6876,6877,0.0,1.885,6.646,11.422,13.118,4.36,1.517,0.017,EZL
6876,6878,0.0,6.674,32.758,31.008,35.364,18.189,5.752,0.077,EZL
6876,6879,0.0,3.8669999,17.439,9.913,3.492,8.413,3.09,0.002,EZL
6876,6881,0.0,12.515,58.681,87.502,70.246,31.436,6.7009997,0.06,EZL
6876,6883,0.0,0.638,6.707,18.197,6.301,7.181,1.466,0.0,EZL
6876,6886,0.0,5.475,62.553,56.094,47.309002,16.269,4.186,0.017,EZL
6876,6888,0.0,0.781,0.45,0.793,0.166,0.806,0.088,0.0,EZL
6876,6893,0.0,1.308,23.862,26.799,31.465,17.242,4.58,0.0,EZL
6876,6965,0.0,274.949,630.825,310.424,149.489,71.834,32.532,0.0,EZL
6876,6970,0.0,0.703,5.644,21.827,10.68,6.082,1.359,0.0,EZL
6877,719,5.256,362.596,1278.682,456.399,291.838,74.75,15.752,0.0,EZL
6877,6872,0.0,2.257,81.429,16.617,24.048,9.778,3.89,0.004,EZL
6877,6874,0.0,2.666,18.043,14.482,12.466,4.974,1.386,0.0,EZL
6877,6876,0.0,7.618,14.729,9.893,8.349,2.431,2.064,0.0,EZL
6877,6878,0.0,3.149,14.65,12.291,11.046,5.007,0.78400004,0.0,EZL
6877,6879,0.0,0.51600003,8.352,9.42,6.8710003,4.136,0.83199996,0.001,EZL
6877,6881,0.0,12.365,53.956,32.151,26.66,5.926,2.532,0.0,EZL
6877,6883,0.0,4.86,10.728,10.707,10.675,2.494,3.15,0.0,EZL
6877,6886,0.0,2.6829998,38.97,57.498,21.342,8.394,1.333,0.0,EZL
6877,6888,0.0,3.16,45.494,9.883,9.99,2.5010002,0.76,0.006,EZL
6877,6893,0.0,0.987,12.934,6.66,6.3190002,2.101,0.774,0.0,EZL
6877,6965,0.82,359.91,1303.31,215.83,138.543,43.493,5.79,0.0,EZL
6877,6970,0.0,0.562,12.918,7.42,4.787,1.315,2.3009999,0.0,EZL
6878,719,0.0,718.593,1679.016,935.924,531.656,198.299,51.519,0.0,EZL
6878,6872,0.0,1.686,35.49,10.864,10.136,3.984,0.59499997,0.0,EZL
6878,6874,0.0,0.178,4.473,11.692,15.16,7.277,2.129,0.0,EZL
6878,6876,0.0,9.769,45.203,31.495,20.485,11.594,2.359,0.0,EZL
6878,6877,0.0,2.7350001,17.53,7.841,8.477,4.495,1.589,0.0,EZL
6878,6879,0.0,3.128,15.296,15.716,14.832,5.371,1.921,0.0,EZL
6878,6881,0.0,13.689,44.439,90.981,44.937,18.878,2.882,0.0,EZL
6878,6883,0.0,4.866,24.352999,25.902,11.846,14.661,1.427,0.0,EZL
6878,6886,0.0,6.027,56.41,79.709,46.028,18.804,3.23,0.0,EZL
6878,6888,0.0,1.003,4.961,3.184,3.156,1.576,0.227,0.0,EZL
6878,6893,0.0,0.433,9.767,7.988,7.1879997,2.525,0.475,0.0,EZL
6878,6965,0.0,373.881,840.635,247.401,107.277,40.033,14.918,0.0,EZL
6878,6970,0.0,6.044,23.572,22.293,10.585,7.5230002,2.497,0.0,EZL
6879,719,7.695,384.245,1183.613,491.316,314.17,84.747,15.749,0.0,EZL
6879,6872,0.0,2.846,75.458,40.337,29.397,14.635,3.475,0.0,EZL
6879,6874,0.517,1.846,19.372,29.13,30.909,8.662,1.822,0.0,EZL
6879,6876,0.007,1.581,20.806,9.353,5.686,3.658,1.526,0.0,EZL
6879,6877,0.0,1.436,6.561,6.957,4.028,2.3799999,0.105000004,0.0,EZL
6879,6878,0.182,3.974,20.4,17.823,10.996,3.051,0.628,0.0,EZL
6879,6881,0.515,11.282,60.186,43.141,29.176,9.139,2.02,0.0,EZL
6879,6883,0.037,1.363,12.948999,17.183,9.532,6.325,2.774,0.0,EZL
6879,6886,0.537,6.229,82.132,137.311,49.444,13.289,3.019,0.0,EZL
6879,6888,0.0,7.2730002,53.940002,10.5789995,12.8619995,3.191,0.68299997,0.0,EZL
6879,6893,0.0,0.23900001,14.699,7.641,11.569,3.259,0.708,0.0,EZL
6879,6965,3.36,378.387,978.884,205.042,112.855,33.146,7.061,0.0,EZL
6879,6970,0.017,1.426,5.6480002,9.617,4.491,2.238,0.171,0.0,EZL
6881,719,0.0,1023.552,2885.045,2338.747,1413.047,562.326,137.527,0.0,EZL
6881,6872,0.0,4.447,37.832,21.694,24.934,9.437,5.5439997,0.053,EZL
6881,6874,0.0,4.473,25.938,69.519,96.431,39.02,9.783,0.002,EZL
6881,6876,0.0,8.024,61.937,81.814,86.425,34.767002,5.578,0.0,EZL
6881,6877,0.0,5.789,29.023,28.78,32.1,17.585,4.051,0.002,EZL
6881,6878,0.0,1.699,33.805,72.878,64.35,29.351,8.5,0.001,EZL
6881,6879,0.0,11.957,38.177002,39.084,46.358,21.323,3.25,2.015,EZL
6881,6883,0.0,2.869,18.464,46.422,31.273,17.118,3.401,0.0,EZL
6881,6886,0.0,16.904,176.09,194.875,159.248,54.16,10.38,0.003,EZL
6881,6888,0.0,2.869,6.567,8.086,4.715,1.963,0.89100003,0.0,EZL
6881,6893,0.0,1.153,23.569,80.296,67.174,35.034,8.906,0.0,EZL
6881,6965,0.0,516.61,1305.955,592.042,259.371,114.615,40.794,0.0,EZL
6881,6970,0.0,2.423,37.961,63.769,41.317,18.263,3.964,0.0,EZL
6883,719,0.0,301.947,795.838,715.203,352.02,161.609,35.86,0.0,EZL
6883,6872,0.0,1.1850001,16.53,8.223,4.844,3.919,1.618,0.0,EZL
6883,6874,0.0,2.162,20.82,24.043,34.371,20.757,3.974,0.023,EZL
6883,6876,0.0,0.561,3.222,19.565,10.534,3.897,0.433,0.0,EZL
6883,6877,0.0,2.409,10.669,9.363,10.405,6.062,1.169,0.0,EZL
6883,6878,0.0,0.96099997,25.621,24.988,21.367,14.64,2.497,0.684,EZL
6883,6879,0.0,5.294,18.161,14.235,12.814,7.783,1.519,0.007,EZL
6883,6881,0.0,1.299,16.95,45.149,39.227,20.862,2.748,0.0,EZL
6883,6886,0.0,9.051,67.579,67.925,46.825,20.678,4.51,0.301,EZL
6883,6888,0.0,1.979,2.543,3.211,1.24,0.449,0.137,0.0,EZL
6883,6893,0.0,1.89,34.96,23.14,28.833,20.619,3.4819999,0.032,EZL
6883,6965,0.0,178.793,506.171,225.881,96.41,49.804,18.143,0.0,EZL
6883,6970,0.0,0.411,13.595,25.148,15.119,5.641,1.337,0.0,EZL
6886,719,9.297,608.247,1981.996,1014.471,1198.528,226.659,55.708,0.0,EZL
6886,6872,0.0,6.5309997,148.444,83.867,89.101,41.836,18.569,0.802,EZL
6886,6874,0.551,4.413,32.327,98.122,90.277,33.408,7.489,0.0,EZL
6886,6876,0.0,12.198,41.983,46.626,57.953,18.4,4.636,0.0,EZL
6886,6877,0.0,0.555,8.271,39.937,31.522,14.776,3.727,0.0,EZL
6886,6878,0.0,3.797,24.515,62.863,53.105,23.925001,4.3,0.0,EZL
6886,6879,0.0,7.596,35.08,109.484,77.622,33.234,12.072,0.296,EZL
6886,6881,0.372,22.522,116.661,177.6,156.829,48.767002,11.606,0.0,EZL
6886,6883,0.0,5.104,30.055,61.12,71.583,22.98,6.283,0.0,EZL
6886,6888,0.0,6.565,50.567,16.158,39.366,12.696,3.382,1.382,EZL
6886,6893,0.0,1.024,32.322,42.097,49.302,17.15,7.185,0.0,EZL
6886,6965,2.774,594.979,1642.635,500.629,443.013,103.724,27.456,0.0,EZL
6886,6970,0.0,1.553,19.373,34.451,31.743,10.884,1.505,0.0,EZL
6888,719,2.6829998,10.314,41.082,1.388,2.639,0.713,0.481,0.0,EZL
6888,6872,0.0,0.433,27.907,48.363,20.171999,9.76,2.904,0.0,EZL
6888,6874,0.0,0.359,3.519,6.465,8.877,2.163,1.259,0.0,EZL
6888,6876,0.003,0.13599999,1.809,1.158,0.229,0.086,0.181,0.0,EZL
6888,6877,0.0,0.17500001,13.483,27.563,9.532,3.111,1.748,0.0,EZL
6888,6878,0.001,0.301,4.52,3.34,2.659,0.79,1.162,0.0,EZL
6888,6879,0.0,1.1,14.791,38.307,12.018,3.61,1.637,0.0,EZL
6888,6881,0.046,1.276,4.568,7.9110003,5.453,1.533,1.55,0.0,EZL
6888,6883,0.002,0.2,0.98399997,1.711,0.777,0.613,0.435,0.0,EZL
6888,6886,0.0,4.277,34.995,33.615,24.453,3.8370001,2.4060001,0.0,EZL
6888,6893,0.0,0.089,4.058,1.43,2.379,1.656,0.189,0.0,EZL
6888,6965,0.074,0.738,0.0,19.629,17.777,4.589,1.498,0.0,EZL
6893,719,0.0,670.375,1439.443,883.619,433.518,171.417,49.52,0.0,EZL
6893,6872,0.0,1.394,18.002,4.591,2.342,3.091,0.173,0.0,EZL
6893,6874,0.0,1.3610001,7.258,15.736,8.745,4.643,0.289,0.0,EZL
6893,6876,0.0,10.073,46.692,22.653,17.898,11.788,1.891,0.0,EZL
6893,6877,0.0,1.542,14.542,6.587,5.344,3.761,0.553,0.0,EZL
6893,6878,0.0,0.183,4.481,9.852,4.189,2.007,0.676,0.0,EZL
6893,6879,0.0,6.068,11.719,9.655,6.269,3.529,2.938,0.0,EZL
6893,6881,0.0,14.064,43.757,112.015,38.015,18.882,5.035,0.0,EZL
6893,6883,0.0,11.351,29.768,38.39,19.882,12.929,1.936,0.0,EZL
6893,6886,0.0,6.356,57.058,59.376,33.369,11.268,2.3240001,0.0,EZL
6893,6888,0.0,0.55,4.557,1.883,2.898,1.514,0.0,0.0,EZL
6893,6965,0.0,299.439,723.36,227.711,95.038,42.22,13.418,0.0,EZL
6893,6970,0.0,8.734,20.42,21.241,4.994,3.934,1.265,0.0,EZL
6965,719,0.0,61.873,326.472,1043.121,3322.77,838.927,510.674,0.0,EZL
6965,6872,0.0,3.397,42.612,210.324,660.86,267.338,188.24,0.0,EZL
6965,6874,0.0,20.599,63.218,336.014,1116.355,378.918,243.74,0.0,EZL
6965,6876,0.0,33.708,77.396,326.191,748.873,337.534,244.864,0.0,EZL
6965,6877,0.0,12.735,30.406,292.884,1212.869,409.754,293.565,0.0,EZL
6965,6878,0.0,31.742,69.345,290.302,914.454,354.912,179.6,0.0,EZL
6965,6879,0.0,29.268,48.539,294.984,891.60803,340.068,228.102,0.0,EZL
6965,6881,0.0,51.253002,157.03,740.25,1767.152,685.331,301.603,0.0,EZL
6965,6883,0.0,12.532,38.236,234.712,576.857,230.759,157.094,0.0,EZL
6965,6886,0.0,39.89,211.369,654.513,2559.558,609.672,350.763,0.0,EZL
6965,6888,0.0,2.237,8.435,45.569,0.0,37.353,51.670002,0.0,EZL
6965,6893,0.0,11.138,58.405,252.754,834.74,325.355,177.163,0.0,EZL
6965,6970,0.0,15.57,26.976,169.912,370.39,165.543,130.403,0.0,EZL
6970,719,0.0,105.672,313.773,374.18,252.923,86.331,20.37,0.0,EZL
6970,6872,0.0,2.62,8.258,3.563,5.91,2.057,0.574,0.0,EZL
