mode_mnlc_o,mode_mnlc_d,1,2,3,4,5,6,7,8,mode
6872,6888,0.0,1.881,9.953,23.108,11.213,6.3190002,4.496,0.0,EZL
6872,6893,0.0,0.145,1.127,4.801,3.188,1.952,2.559,0.0,EZL
6872,6965,0.089,29.31,88.493,292.886,137.01399,40.441,17.945,0.0,EZL
6872,6970,0.0,0.0,3.085,5.897,2.075,0.931,2.241,0.0,EZL
6874,719,0.0,289.304,601.658,1191.295,429.54,208.481,47.96,0.0,EZL
6874,6872,0.0,2.427,15.084,19.241,8.701,6.4570003,1.579,0.001,EZL
6874,6876,0.0,2.632,12.836,39.353,16.189,8.177,2.764,0.0,EZL
6874,6877,0.0,0.278,5.067,13.317,6.627,4.221,1.542,0.0,EZL
6874,6878,0.0,0.343,2.373,12.458,5.105,3.7649999,0.901,0.0,EZL
6874,6879,0.0,3.499,8.765,17.615,8.625,3.876,3.042,0.007,EZL
6874,6881,0.0,6.867,37.711,96.739,30.885,10.689,4.276,0.0,EZL
6874,6883,0.0,3.671,15.377,34.372,20.889,13.948,3.265,0.0,EZL
6874,6886,0.0,6.9430003,44.474,203.105,37.543,18.885,5.224,0.0,EZL
6874,6888,0.0,0.248,4.82,10.190001,1.265,1.486,0.39000002,0.001,EZL
6874,6893,0.0,0.164,7.07,9.502,3.918,2.73,0.834,0.0,EZL
6874,6965,0.0,138.103,216.184,376.274,159.735,95.783,33.523,0.0,EZL
6874,6970,0.0,0.907,11.437,25.323,9.777,9.054,3.08,0.0,EZL
6876,719,0.0,239.521,585.087,1401.565,516.747,267.123,79.706,0.0,EZL
6876,6872,0.0,1.704,2.427,8.842,3.094,1.502,0.905,0.0,EZL
6876,6874,0.0,1.957,8.29,34.614,21.216,12.053,6.942,0.028,EZL
6876,6877,0.0,1.2590001,3.395,10.383,7.206,2.833,2.511,0.07,EZL
6876,6878,0.0,1.402,13.406,36.0,25.943,12.764,7.262,0.105,EZL
6876,6879,0.0,0.193,4.055,12.876,7.123,3.092,2.323,0.0,EZL
6876,6881,0.0,4.188,30.828001,110.604,48.88,26.297,10.18,0.073,EZL
6876,6883,0.0,0.24,2.782,17.775,7.644,4.484,2.264,0.0,EZL
