mode_mnlc_o,mode_mnlc_d,2,3,4,5,6,7,mode
523,882,0.0,0.566,1.211,1.502,0.82600003,0.0,DLR
523,883,0.0,1.406,3.316,0.0,0.552,0.773,DLR
523,884,3.387,99.421,253.318,87.759,37.827,10.468,DLR
523,886,0.0,0.744,5.086,0.576,2.426,0.0,DLR
523,888,0.0,0.143,0.526,0.315,0.0,0.0,DLR
523,889,0.0,0.0,3.573,3.5110002,1.403,0.0,DLR
523,928,0.0,0.051,0.167,0.033,0.0,0.0,DLR
523,940,0.0,2.042,3.083,0.795,0.0,0.0,DLR
533,504,0.0,1.187,39.516,29.351,36.940998,0.887,DLR
533,513,0.0,21.017,209.419,181.604,203.604,6.6280003,DLR
533,523,0.0,0.742,3.711,3.8009999,1.824,0.0,DLR
533,538,0.0,1.3280001,10.036,10.836,14.725,2.956,DLR
533,559,0.0,1.767,4.979,5.621,5.59,0.701,DLR
533,573,1.269,31.407,194.781,116.222,126.564,12.87,DLR
533,719,0.0,22.102,173.475,136.277,177.981,8.069,DLR
533,749,0.0,0.475,10.07,11.496,13.033,0.56700003,DLR
533,750,0.0,0.0,3.458,1.698,2.438,0.885,DLR
533,757,0.0,10.211,60.623,49.712,65.732,6.233,DLR
533,842,0.0,1.748,24.627,20.06,24.549,1.53,DLR
533,850,0.0,0.0,1.786,1.701,2.2779999,0.0,DLR
533,851,0.0,0.0,3.858,8.531,6.612,0.578,DLR
533,853,0.0,0.0,3.941,3.741,1.669,0.20899999,DLR
533,854,0.0,0.0,3.141,5.7139997,4.02,0.0,DLR
533,855,0.0,0.0,3.236,6.924,3.266,0.0,DLR
533,856,0.0,0.0,2.057,2.71,3.155,0.0,DLR
533,857,0.0,0.356,1.878,2.703,2.998,0.347,DLR
533,858,0.0,1.511,22.055,26.975,22.105,2.043,DLR
533,859,0.0,0.0,0.721,0.801,1.471,0.535,DLR
533,860,0.0,3.659,37.122,35.528,38.948,1.784,DLR
533,861,0.0,0.0,3.568,10.011,4.011,0.186,DLR
533,862,0.0,3.522,17.518,18.9,26.813,0.843,DLR
533,864,0.0,0.605,27.758,32.227,25.762,0.268,DLR
533,865,0.0,2.53,16.263,20.46,20.795,0.538,DLR
533,866,0.0,0.0,4.528,2.787,2.301,0.0,DLR
533,867,0.0,0.0,2.269,2.428,1.3149999,0.269,DLR
533,879,0.0,0.488,8.849,7.205,7.7599998,0.129,DLR
533,882,0.0,0.26,7.139,8.874,9.971,0.0,DLR
533,883,0.0,0.23,5.944,10.672,10.8810005,1.089,DLR
533,884,0.0,53.151,570.386,485.009,658.114,30.047,DLR
533,886,0.0,0.26,9.29,6.413,5.375,0.036,DLR
533,887,0.0,0.035,2.69,1.884,1.214,0.0,DLR
533,888,0.0,0.372,1.2080001,0.858,0.861,0.033,DLR
533,889,0.0,2.439,4.048,0.844,2.4950001,0.076,DLR
533,890,0.0,0.0,2.004,0.328,0.643,0.019,DLR
533,895,0.0,0.0,1.676,0.68,0.919,0.039,DLR
533,897,0.0,0.0,6.755,8.096,4.908,0.0,DLR
533,898,0.0,0.0,3.459,2.943,3.102,0.0,DLR
533,928,0.0,0.0,1.7870001,1.206,0.534,0.0,DLR
533,940,0.0,0.222,11.516,9.238,8.957,0.0,DLR
538,504,0.0,11.366,60.885,10.376,2.241,0.515,DLR
538,513,0.0,58.092,188.792,46.664,20.054,5.836,DLR
538,523,0.0,0.58500004,5.735,2.136,0.992,0.177,DLR
538,533,0.0,1.006,11.9939995,19.237,4.471,0.559,DLR
538,559,0.0,0.482,2.563,0.97,1.452,0.20400001,DLR
538,573,0.219,16.996,100.786,23.086,12.745,5.308,DLR
538,719,0.0,52.439,275.352,68.204,27.224,12.602,DLR
538,749,0.0,7.709,15.136,4.035,4.627,2.202,DLR
538,757,0.0,17.962,64.825,20.98,12.028,3.49,DLR
538,842,0.0,3.176,66.324,12.6119995,5.287,2.989,DLR
538,851,0.0,0.401,5.284,1.535,0.24700001,0.0,DLR
