name_o,name_d,Early,AM Peak,Midday,PM Peak,Evening,Late,Total,mode,day
940GZZDLALL,940GZZDLCGT,0,0,9.341,44.624,20.487,12.408,90.353,dlr,SUN
940GZZDLALL,940GZZDLCGT,2.266,9.096,27.099,5.052,5.295,2.391,51.199,dlr,MTT
940GZZDLALL,940GZZDLCLA,0,0,0,14.186,4.377,1.891,21.144,dlr,SUN
940GZZDLALL,940GZZDLCLA,0.97300005,4.518,10.925,5.739,4.1150002,1.737,28.00700025,dlr,MTT
940GZZDLALL,940GZZDLCUS,0,0,0.076,0.662,0.654,0.31,1.702,dlr,SUN
940GZZDLALL,940GZZDLCUS,0.137,0.438,1.883,0.801,0.489,0,3.748,dlr,MTT
940GZZDLALL,940GZZDLCUT,0,0,3.635,22.825,4.84,2.233,34.24399997,dlr,SUN
940GZZDLALL,940GZZDLCUT,2.594,13.573,26.726,6.086,2.268,1.066,52.313,dlr,MTT
940GZZDLALL,940GZZDLCYP,0,0,0,1.096,0,2.219,4.633,dlr,SUN
940GZZDLALL,940GZZDLCYP,0,1.311,4.3519998,1.052,1.867,0,8.5819998,dlr,MTT
940GZZDLALL,940GZZDLDEP,0,0,2.609,17.956,4.634,2.7089999,29.9189999,dlr,SUN
940GZZDLALL,940GZZDLDEP,3.4390001,10.676,16.154,5.703,2.641,0.451,39.0640001,dlr,MTT
940GZZDLALL,940GZZDLDEV,0,0,1.629,23.51,10.989,3.909,44.293,dlr,SUN
940GZZDLALL,940GZZDLDEV,1.653,27.509,55.683,28.59,12.699,5.491,131.625,dlr,MTT
940GZZDLALL,940GZZDLEIN,0,0,0.389,4.42,1.6110001,0.531,6.9510001,dlr,SUN
940GZZDLALL,940GZZDLEIN,0,0,9.411,3.247,2.647,0,15.305,dlr,MTT
940GZZDLALL,940GZZDLELV,0,0,0,3.431,1.362,0.396,5.189,dlr,SUN
940GZZDLALL,940GZZDLELV,0,1.039,2.844,2.368,0.884,0.085,7.22,dlr,MTT
940GZZDLALL,940GZZDLGAL,0,0,0,2.978,0,0,2.978,dlr,SUN
940GZZDLALL,940GZZDLGAL,0,4.806,3.1629999,0.964,0,0,8.9329999,dlr,MTT
940GZZDLALL,940GZZDLGRE,0,0,0.21599999,2.6560001,0.507,0.194,3.57300009,dlr,SUN
940GZZDLALL,940GZZDLGRE,0.619,4.309,1.535,0.759,0.417,0.02,7.659,dlr,MTT
940GZZDLALL,940GZZDLHEQ,0,0,0,11.891,5.498,0,17.389,dlr,SUN
940GZZDLALL,940GZZDLHEQ,7.788,30.426,5.871,7.212,2.9060001,0.076000005,54.27900011,dlr,MTT
940GZZDLALL,940GZZDLISL,0,0,0.757,4.154,1.585,0.53499997,7.45799999,dlr,SUN
940GZZDLALL,940GZZDLISL,0,5.753,6.022,2.203,1.308,0.288,15.574,dlr,MTT
940GZZDLALL,940GZZDLLCA,0,0,0,2.494,0.855,0.477,3.826,dlr,SUN
940GZZDLALL,940GZZDLLCA,0.566,1.288,3.365,3.006,0.033,0,8.258,dlr,MTT
940GZZDLALL,940GZZDLLDP,0,0,1.506,14.688,3.292,1.462,21.067,dlr,SUN
940GZZDLALL,940GZZDLLDP,0,25.536,26.138,7.2799997,2.736,0.485,62.1749997,dlr,MTT
940GZZDLALL,940GZZDLLEW,0,0,4.871,19.688,8.52,4.665,42.614,dlr,SUN
940GZZDLALL,940GZZDLLEW,1.656,21.504,26.964,30.245,4.814,3.7189999,88.9019999,dlr,MTT
940GZZDLALL,940GZZDLLIM,0,0,3.227,5.223,4.046,1.345,14.341,dlr,SUN
940GZZDLALL,940GZZDLLIM,1.034,4.326,14.216,10.461,2.882,0.992,33.911,dlr,MTT
940GZZDLALL,940GZZDLMUD,0,0,0.832,4.515,1.171,1.149,7.667,dlr,SUN
940GZZDLALL,940GZZDLMUD,0,2.0540001,6.5160003,4.316,0.613,0.333,13.8320004,dlr,MTT
940GZZDLALL,940GZZDLPDK,0,0,0,0.815,0.646,1.766,3.496,dlr,SUN
940GZZDLALL,940GZZDLPDK,0.926,5.034,1.247,1.268,3.226,0.886,12.587,dlr,MTT
940GZZDLALL,940GZZDLPOP,0,0,4.908,8.881,5.319,2.547,24.549,dlr,SUN
940GZZDLALL,940GZZDLPOP,1.245,3.255,25.557,15.125,3.068,1.195,49.445,dlr,MTT
940GZZDLALL,940GZZDLPRE,0,0,0,0.887,0.25,0,1.137,dlr,SUN
940GZZDLALL,940GZZDLPUD,0,0,0.534,6.49,1.294,1.028,10.173,dlr,SUN
940GZZDLALL,940GZZDLPUD,0.35,6.149,5.775,3.384,1.253,0.356,17.267,dlr,MTT
940GZZDLALL,940GZZDLRAL,0,0,1.0979999,1.692,0.979,0.463,4.9359999,dlr,SUN
940GZZDLALL,940GZZDLRAL,0,0.504,1.131,1.458,0.766,0,3.859,dlr,MTT
940GZZDLALL,940GZZDLRVC,0,0,0.371,2.74,1.521,0.964,5.596,dlr,SUN
940GZZDLALL,940GZZDLRVC,0,0.783,2.905,1.658,1.336,0.286,6.968,dlr,MTT
940GZZDLALL,940GZZDLSHA,0,0,5.637,17.644,10.746,2.575,38.668,dlr,SUN
940GZZDLALL,940GZZDLSHA,1.446,18.848,25.838,15.844,6.584,3.072,71.632,dlr,MTT
940GZZDLALL,940GZZDLSIT,0,0,0.765,3.003,2.588,0.694,9.553,dlr,SUN
940GZZDLALL,940GZZDLSIT,0,9.983,5.106,5.04,2.525,0,22.654,dlr,MTT
940GZZDLALL,940GZZDLSOQ,0,0,1.416,9.528,5.534,4.599,23.3979999,dlr,SUN
940GZZDLALL,940GZZDLSOQ,1.036,12.15,16.698,7.642,5.36,3.12,46.006,dlr,MTT
940GZZDLALL,940GZZDLSTD,0,1.873,52.413002,276.794,105.564,59.994,519.101002,dlr,SUN
940GZZDLALL,940GZZDLSTD,32.833,258.572,342.807,251.322,94.712,31.982,1012.228,dlr,MTT
940GZZDLALL,940GZZDLTWG,0,0,1.288,9.269,2.293,1.1389999,14.10999991,dlr,SUN
940GZZDLALL,940GZZDLTWG,0.94,16.572,12.729,3.972,1.438,0.458,36.109,dlr,MTT
940GZZDLALL,940GZZDLWFE,0,0,0.442,3.342,0.835,1.429,6.048,dlr,SUN
940GZZDLALL,940GZZDLWFE,0,1.254,8.359,4.263,1.058,0.781,15.715,dlr,MTT
940GZZDLALL,940GZZDLWHM,0,0,0,0,0,0.011,0.011,dlr,SUN
940GZZDLALL,940GZZDLWHM,0.097,0.406,0.157,0,0.62200004,1.031,2.31300004,dlr,MTT
940GZZDLALL,940GZZDLWIQ,0,0,1.593,24.391,11.204,5.363,43.253,dlr,SUN
940GZZDLALL,940GZZDLWIQ,1.248,11.569,23.976,9.463,9.051,0,55.307,dlr,MTT
940GZZDLALL,940GZZDLWLA,0,0,2.706,8.411,2.852,2.707,17.535,dlr,SUN
940GZZDLALL,940GZZDLWLA,1.335,5.0299997,10.16,6.802,5.955,0.601,29.8829997,dlr,MTT
940GZZDLALL,940GZZDLWSV,0,0,0.995,0.775,0.995,0.678,3.443,dlr,SUN
940GZZDLBEC,940GZZDLABR,0,0,0,1.7919999,2.304,0.431,4.5269999,dlr,SUN
940GZZDLBEC,940GZZDLABR,0,0.379,3.061,1.609,0.97800004,0.344,6.37100004,dlr,MTT
940GZZDLBEC,940GZZDLALL,0,0,0,3.402,0.851,0.30400002,4.84700002,dlr,SUN
940GZZDLBEC,940GZZDLALL,0,2.013,2.205,2.585,1.4350001,0.398,8.6360001,dlr,MTT
940GZZDLBEC,940GZZDLBLA,0,0,0.368,4.595,2.616,1.804,9.383,dlr,SUN
940GZZDLBEC,940GZZDLBLA,5.802,24.407999,6.868,4.351,1.456,0.207,43.091999,dlr,MTT
940GZZDLBEC,940GZZDLBNK,0,5.86,20.471,13.992,3.17,4.052,48.514,dlr,SUN
940GZZDLBEC,940GZZDLBNK,56.439,83.729,13.457,30.01,5.953,3.477,193.065,dlr,MTT
940GZZDLBEC,940GZZDLBOW,0,0.187,0.42,2.985,1.833,0.462,6.299,dlr,SUN
940GZZDLBEC,940GZZDLBOW,3.619,2.13,4.882,4.474,2.958,0,18.063,dlr,MTT
940GZZDLBEC,940GZZDLBPK,0,0.197,0.38,2.751,1.02,0.332,4.68,dlr,SUN
940GZZDLBEC,940GZZDLBPK,3.652,2.041,3.704,0.96500003,1.002,0.742,12.10600003,dlr,MTT
940GZZDLBEC,940GZZDLCAN,0,0.87,6.203,20.904,7.072,1.6,38.603,dlr,SUN
940GZZDLBEC,940GZZDLCAN,10.56,24.491,10.19,22.612,1.773,0,69.626,dlr,MTT
940GZZDLBEC,940GZZDLCGT,0,24.311,185.534,617.436,198.217,89.927,1135.15,dlr,SUN
940GZZDLBEC,940GZZDLCGT,275.955,502.221,482.74,259.538,128.077,30.172,1678.703,dlr,MTT
940GZZDLBEC,940GZZDLCLA,0,0,2.491,2.971,1.247,0.219,6.928,dlr,SUN
940GZZDLBEC,940GZZDLCLA,1.855,8.305,6.623,1.883,0.901,0.745,20.312,dlr,MTT
940GZZDLBEC,940GZZDLCUS,0,0.479,4.001,15.733,8.804,3.504,33.64,dlr,SUN
940GZZDLBEC,940GZZDLCUS,1.4269999,8.072,16.071,19.417,8.142,0.228,53.3569999,dlr,MTT
940GZZDLBEC,940GZZDLCUT,0,0.152,2.18,10.1,1.068,0.219,14.109,dlr,SUN
940GZZDLBEC,940GZZDLCUT,1.371,10.997,13.912,3.781,0.671,0.556,31.288,dlr,MTT
940GZZDLBEC,940GZZDLCYP,0,0.052,0.929,12.8,6.507,0.76600003,21.53000003,dlr,SUN
940GZZDLBEC,940GZZDLCYP,0.97400004,6.117,27.399,9.589,7.698,1.87,53.64700004,dlr,MTT
940GZZDLBEC,940GZZDLDEP,0,0,3.008,2.741,0.404,0,6.153,dlr,SUN
940GZZDLBEC,940GZZDLDEP,0,1.577,2.775,3.083,3.064,0.31800002,10.81700002,dlr,MTT
940GZZDLBEC,940GZZDLDEV,0,0,2.239,1.398,2.076,1.23,6.943,dlr,SUN
940GZZDLBEC,940GZZDLDEV,0.727,9.821,6.87,4.568,1.339,0,23.325,dlr,MTT
940GZZDLBEC,940GZZDLEIN,0,0,1.568,8.099,5.191,1.383,16.889,dlr,SUN
940GZZDLBEC,940GZZDLEIN,5.7599998,11.063,5.1670003,2.895,0.462,0.428,25.7750001,dlr,MTT
940GZZDLBEC,940GZZDLGAL,0,0,5.138,39.521,14.956,0.642,60.942,dlr,SUN
940GZZDLBEC,940GZZDLGAL,0.338,3.639,27.638,17.239,13.13,1.592,63.576,dlr,MTT
940GZZDLBEC,940GZZDLGRE,0,0.158,0.096,0.885,0.229,0,1.368,dlr,SUN
940GZZDLBEC,940GZZDLGRE,0.86,0.523,1.299,0.657,0.575,0,3.914,dlr,MTT
940GZZDLBEC,940GZZDLHEQ,3.695,13.293,1.709,1.1340001,0.658,0,20.4890001,dlr,MTT
940GZZDLBEC,940GZZDLISL,0,0,0.745,1.53,0.437,0.943,3.655,dlr,SUN
940GZZDLBEC,940GZZDLISL,0.403,3.991,1.834,2.709,0.441,0,9.378,dlr,MTT
940GZZDLBEC,940GZZDLLCA,0,0,0.136,1.095,1.311,0,2.542,dlr,SUN
940GZZDLBEC,940GZZDLLDP,0,0,5.321,16.593,3.498,0.916,26.333,dlr,SUN
940GZZDLBEC,940GZZDLLDP,3.295,13.192,11.274,2.082,1.379,0.35300002,31.57500002,dlr,MTT
940GZZDLBEC,940GZZDLLEW,0,0.269,5.614,16.911,6.482,2.053,31.918,dlr,SUN
940GZZDLBEC,940GZZDLLEW,8.452,19.331,8.457,18.193,2.612,0.588,57.633,dlr,MTT
