name_o,name_d,Early,AM Peak,Midday,PM Peak,Evening,Late,Total,mode,day
910GACTNCTL,910GHROW,3.398,3.3860002,3.272,6.239,2.123,0.164,18.5820002,overground,MTT
910GACTNCTL,910GHTCHEND,0.001,0.105,0.52,0.889,0.236,0.001,1.752,overground,MTT
910GACTNCTL,910GKENR,0,0,0.791,19.278,9.239,4.643,34.968,overground,SUN
910GACTNCTL,910GKENR,0,39.238,74.9,53.459,10.688,3.683,181.968,overground,MTT
910GACTNCTL,910GKENSLG,0,0,0.305,0.083000004,0,0,0.388000004,overground,SUN
910GACTNCTL,910GKENSLG,0,0.118,0.72,0.73300004,0.047,0,1.61800004,overground,MTT
910GACTNCTL,910GKEWGRDN,0,0,2.651,37.414,5.6949997,2.839,49.0739997,overground,SUN
910GACTNCTL,910GKEWGRDN,1.431,18.978,19.425,11.752,3.397,1.632,56.615,overground,MTT
910GACTNCTL,910GKLBRNHR,0,0,0.12,1.1290001,0.164,0.47,1.8830001,overground,SUN
910GACTNCTL,910GKLBRNHR,0.004,0.472,0.871,1.515,0.178,0.002,3.042,overground,MTT
910GACTNCTL,910GKNTSHTW,0,0,1.9480001,17.507,6.852,2.337,29.1490001,overground,SUN
910GACTNCTL,910GKNTSHTW,10.681,54.964,20.022,10.73,2.932,1.606,100.935,overground,MTT
910GACTNCTL,910GKTON,0,0,0.421,2.355,0.71999997,0.693,4.30999997,overground,SUN
910GACTNCTL,910GKTON,0.561,2.249,1.83,5.586,0.905,0.002,11.133,overground,MTT
910GACTNCTL,910GLEYTNMR,0,0,0,1.38,1.934,0.825,4.58200002,overground,SUN
910GACTNCTL,910GLEYTNMR,0.054,0.798,1.299,3.119,0.649,0.02,5.939,overground,MTT
910GACTNCTL,910GLYTNSHR,0.031,0.44099998,0.838,1.099,0.172,0.111,2.69199998,overground,MTT
910GACTNCTL,910GNEWXGTE,0.191,0.622,0.55,0.675,0.19500001,0.001,2.23400001,overground,MTT
910GACTNCTL,910GNWCRELL,0.052,1.925,0.324,0.642,0.023,0.002,2.968,overground,MTT
910GACTNCTL,910GNWEMBLY,0,0,0.102,0.357,0.546,0.761,1.794,overground,SUN
910GACTNCTL,910GNWEMBLY,0.319,0.80799997,0.803,3.602,1.533,0.105,7.16999997,overground,MTT
910GACTNCTL,910GPCKHMRY,0,0,0,0.673,0.374,0.271,1.318,overground,SUN
910GACTNCTL,910GQPRK,0,0,1.317,1.006,0,0.322,2.645,overground,SUN
910GACTNCTL,910GQPRK,0.036,0.595,2.865,8.111,0.582,0.066,12.255,overground,MTT
910GACTNCTL,910GRICHMND,0,0,16.292,248.347,64.097,31.06,364.308,overground,SUN
910GACTNCTL,910GRICHMND,31.055,318.359,142.336,145.88899,52.028,8.593,698.25999,overground,MTT
910GACTNCTL,910GSACTON,0,0,4.849,18.928,5.908,7.6419997,38.4229997,overground,SUN
910GACTNCTL,910GSACTON,0.135,7.386,7.923,6.28,2.974,3.117,27.815,overground,MTT
910GACTNCTL,910GSHADWEL,0,0.045,0,0,0,0,0.045,overground,MTT
910GACTNCTL,910GSHMPSTD,0,0,0.162,1.285,0.169,0.25800002,1.87400002,overground,SUN
910GACTNCTL,910GSHMPSTD,0.065,3.533,1.174,1.661,0.884,0.009000001,7.326000001,overground,MTT
910GACTNCTL,910GSHRDHST,0,0,1.243,7.5810003,2.001,0.851,12.0190003,overground,SUN
910GACTNCTL,910GSHRDHST,0.77900004,4.117,3.8439999,2.046,0.379,0.002,11.16699994,overground,MTT
