name_o,name_d,Early,AM Peak,Midday,PM Peak,Evening,Late,Total,mode,day
940GZZLUACT,940GZZLUCAL,0.578,0.185,0.187,2.038,0.20199999,0,3.18999999,tube,MTT
940GZZLUACT,940GZZLUCAR,0,0,0.614,4.708,1.709,1.476,8.65,tube,SUN
940GZZLUACT,940GZZLUCAR,1.663,2.817,2.996,4.746,0.871,0.387,13.48,tube,MTT
940GZZLUACT,940GZZLUCFM,0,0,0.682,1.255,1.352,0.427,3.721,tube,SUN
940GZZLUACT,940GZZLUCFM,0,0.536,0.919,1.471,0.486,0.115,3.527,tube,MTT
940GZZLUACT,940GZZLUCGN,0,1.341,10.623,77.777,17.897,3.0970001,111.0250001,tube,SUN
940GZZLUACT,940GZZLUCGN,8.135,44.021,50.705,26.616,4.885,0.234,134.596,tube,MTT
940GZZLUACT,940GZZLUCGT,0.003,1.056,4.116,9.194,4.063,3.3830001,22.8610001,tube,SUN
940GZZLUACT,940GZZLUCGT,2.279,3.049,7.931,13.515,4.112,0.69200003,31.58400003,tube,MTT
940GZZLUACT,940GZZLUCHL,0,0,0.787,2.942,0.809,0.14,4.678,tube,SUN
940GZZLUACT,940GZZLUCHL,2.941,20.024,8.612,3.422,0.485,0.253,35.737,tube,MTT
940GZZLUACT,940GZZLUCHX,0,0.259,0.349,3.109,0.929,0.715,5.361,tube,SUN
940GZZLUACT,940GZZLUCHX,0.93700004,5.338,4.549,2.249,1.366,0.005,14.44400004,tube,MTT
940GZZLUACT,940GZZLUCKS,0,0,0.852,1.984,0.787,0.015,3.638,tube,SUN
940GZZLUACT,940GZZLUCKS,0,0.489,1.838,2.529,0.281,0,5.137,tube,MTT
940GZZLUACT,940GZZLUCND,0.001,0,0,1.632,0.795,0.491,2.949000001,tube,SUN
940GZZLUACT,940GZZLUCND,0.212,0.98,1.622,1.243,0.601,0.125,4.783,tube,MTT
940GZZLUACT,940GZZLUCPC,0,0,0.81,2.623,1.542,1.122,6.542,tube,SUN
940GZZLUACT,940GZZLUCPC,2.076,3.655,2.022,1.437,1.661,0.442,11.293,tube,MTT
940GZZLUACT,940GZZLUCPK,0,0,0.28,0.42000002,0.385,0.25,1.33500002,tube,SUN
940GZZLUACT,940GZZLUCPK,0,0,0.111,1.972,0.258,0.132,2.473,tube,MTT
940GZZLUACT,940GZZLUCPN,0,0,0.52,1.588,1.366,0.401,4.11400001,tube,SUN
940GZZLUACT,940GZZLUCPN,0.59,1.216,0.69600004,0.774,1.334,0.521,5.13100004,tube,MTT
940GZZLUACT,940GZZLUCPS,0,0,0.157,1.917,1.257,1.365,4.858,tube,SUN
940GZZLUACT,940GZZLUCPS,0.701,2.464,0.867,0.943,0.489,0.278,5.742,tube,MTT
940GZZLUACT,940GZZLUCSD,0,0.246,0.365,1.262,0.907,0.702,3.621,tube,SUN
940GZZLUACT,940GZZLUCSD,0,0,1.146,2.525,0.149,0.392,4.212,tube,MTT
940GZZLUACT,940GZZLUCST,0,0.015000001,0.602,3.182,0.919,0.539,5.342000001,tube,SUN
940GZZLUACT,940GZZLUCST,6.42,18.926,5.771,6.004,0.787,0.073,37.981,tube,MTT
940GZZLUACT,940GZZLUCTN,0,0.096,3.124,20.604,3.715,1.117,29.373,tube,SUN
940GZZLUACT,940GZZLUCTN,0.416,3.5970001,8.821,4.986,1.053,0.528,19.4010001,tube,MTT
940GZZLUACT,940GZZLUCWP,0,0,4.735,20.277,4.398,1.227,31.078,tube,SUN
940GZZLUACT,940GZZLUCWP,0.75,20.122,25.91,9.767,4.488,0.709,61.746,tube,MTT
940GZZLUACT,940GZZLUCWR,0,0.996,5.085,15.825,8.033,5.037,36.269,tube,SUN
940GZZLUACT,940GZZLUCWR,3.159,11.356,14.13,14.713,6.189,2.194,51.749,tube,MTT
940GZZLUACT,940GZZLUCXY,0,0,0.127,1.31,0.75200003,0.003,2.19200003,tube,MTT
940GZZLUACT,940GZZLUCYD,0.001,1.306,1.158,0.87,0.007,0,3.342,tube,MTT
940GZZLUACT,940GZZLUCYF,0.006,1.524,3.236,9.933,3.094,1.06,19.356,tube,SUN
