naptanid,stopType,commonName,line,lat,lon
490000073K,NaptanPublicBusCoachTram,Elephant & Castle / New Kent Road,1,51.495076,-0.099071
490000073N,NaptanPublicBusCoachTram,Elephant & Castle / New Kent Road,1,51.495006,-0.099218
490000112M,NaptanPublicBusCoachTram,Kingsway / Holborn Station,1,51.51674,-0.11976
490000112P,NaptanPublicBusCoachTram,Holborn Station,1,51.516927,-0.120214
490000229L,NaptanPublicBusCoachTram,Surrey Quays Station,1,51.493421,-0.046011
490000229O,NaptanPublicBusCoachTram,Surrey Quays Station,1,51.49271,-0.048101
490000235N,NaptanPublicBusCoachTram,Tottenham Court Road,1,51.51602,-0.12874
490000235Z,NaptanPublicBusCoachTram,New Oxford Street,1,51.516726,-0.128466
490000254E,NaptanPublicBusCoachTram,Waterloo Station   / Waterloo Road,1,51.503512,-0.111414
490000254K,NaptanPublicBusCoachTram,Waterloo Station / Tenison Way,1,51.504359,-0.113742
490003191F,NaptanPublicBusCoachTram,Aldwych / Kingsway,1,51.513141,-0.117948
490003275E,NaptanPublicBusCoachTram,Alscot Road,1,51.493684,-0.074365
490003275W,NaptanPublicBusCoachTram,Alscot Road,1,51.493622,-0.07444
490003311E,NaptanPublicBusCoachTram,Anchor Street,1,51.492166,-0.061392
490003311N,NaptanPublicBusCoachTram,Anchor Street,1,51.491578,-0.060625
490003533E,NaptanPublicBusCoachTram,Harris Academy,1,51.492803,-0.071118
490003658BC,NaptanPublicBusCoachTram,Bricklayer's Arms / New Kent Road,1,51.494414,-0.087689
490003658BS,NaptanPublicBusCoachTram,Bricklayer's Arms / New Kent Road,1,51.494033,-0.09024
490003716E,NaptanPublicBusCoachTram,Beamish House,1,51.48961,-0.056401
490004315BH,NaptanPublicBusCoachTram,Bricklayer's Arms / Tower Bridge Road,1,51.495631,-0.08346
490004733C,NaptanPublicBusCoachTram,Canada Water Bus Station,1,51.497775,-0.049844
490004733D,NaptanPublicBusCoachTram,Canada Water Bus Station,1,51.498145,-0.049944
490005603E,NaptanPublicBusCoachTram,Corbetts Lane,1,51.490942,-0.053175
490005603W,NaptanPublicBusCoachTram,Corbetts Lane,1,51.490641,-0.054038
490006203RA,NaptanPublicBusCoachTram,Drury Lane,1,51.516364,-0.12384
490006792E,NaptanPublicBusCoachTram,Fendall Street,1,51.495681,-0.078243
490007086B,NaptanPublicBusCoachTram,Galleywall Road / South Bermondsey Stn,1,51.489053,-0.058024
490007362S,NaptanPublicBusCoachTram,Grange Road / Caledonian Market,1,51.496403,-0.082275
490007533E,NaptanPublicBusCoachTram,Griggs Place,1,51.49644,-0.08066
490008932T,NaptanPublicBusCoachTram,Lancaster Place,1,51.510522,-0.118935
490009281A,NaptanPublicBusCoachTram,Elephant & Castle / London Road,1,51.496135,-0.101706
490009281E,NaptanPublicBusCoachTram,Elephant & Castle / London Road,1,51.496102,-0.101333
490009482N,NaptanPublicBusCoachTram,Lynton Road,1,51.490197,-0.059776
490009482S,NaptanPublicBusCoachTram,Lynton Road,1,51.490568,-0.059904
490010131WB,NaptanPublicBusCoachTram,Museum Street,1,51.517577,-0.124338
490011538W,NaptanPublicBusCoachTram,Reverdy Road,1,51.492687,-0.069523
490011632BA,NaptanPublicBusCoachTram,Rodney Place,1,51.494218,-0.094439
490011632BT,NaptanPublicBusCoachTram,Rodney Place,1,51.494168,-0.094672
490011719A,NaptanPublicBusCoachTram,Rotherhithe New Rd / Sth Bermondsey Stn,1,51.488924,-0.057309
490011722Q,NaptanPublicBusCoachTram,Warndon Street,1,51.491062,-0.049079
490011723E,NaptanPublicBusCoachTram,Rotherhithe Police Station,1,51.495006,-0.050452
490011723P,NaptanPublicBusCoachTram,Rotherhithe Police Station,1,51.495358,-0.05159
490012353E,NaptanPublicBusCoachTram,Southwark Park Road / St James's Road,1,51.492371,-0.065662
490012353W,NaptanPublicBusCoachTram,Southwark Park Road / St James's Road,1,51.49225,-0.064874
490012367E,NaptanPublicBusCoachTram,Spa Road,1,51.49482,-0.07619
490012367W,NaptanPublicBusCoachTram,Spa Road,1,51.495374,-0.077665
490012693N1,NaptanPublicBusCoachTram,St George's Circus,1,51.499668,-0.107236
490012693S2,NaptanPublicBusCoachTram,St George's Circus,1,51.499158,-0.106278
490013042J,NaptanPublicBusCoachTram,Surrey Quays Shopping Centre,1,51.494019,-0.046259
490013485N,NaptanPublicBusCoachTram,The Old Vic,1,51.50129,-0.109085
490013485S1,NaptanPublicBusCoachTram,The Old Vic,1,51.501338,-0.108752
490014228E,NaptanPublicBusCoachTram,Warndon Street,1,51.491123,-0.050531
490014270P,NaptanPublicBusCoachTram,Waterloo Bridge / South Bank,1,51.506259,-0.115004
490014271N,NaptanPublicBusCoachTram,Waterloo Bridge / South Bank,1,51.506509,-0.114864
490015272BJ,NaptanPublicBusCoachTram,Bricklayer's Arms / Tower Bridge Road,1,51.495154,-0.083955
490019703Z,NaptanPublicBusCoachTram,Aldwych / Drury Lane,1,51.512264,-0.118806
490G00000350,NaptanOnstreetBusCoachStopPair,Kingsway / Holborn Station,1,51.51674,-0.11976
490G00003195,NaptanOnstreetBusCoachStopPair,Aldwych / Kingsway,1,51.513141,-0.117948
490G00003275,NaptanOnstreetBusCoachStopPair,Alscot Road,1,51.493622,-0.07444
490G00003311,NaptanOnstreetBusCoachStopPair,Anchor Street,1,51.492166,-0.061392
490G00003533,NaptanOnstreetBusCoachStopPair,Harris Academy,1,51.492803,-0.071118
490G00003658,NaptanOnstreetBusCoachStopCluster,Bricklayer's Arms / New Kent Road,1,51.494033,-0.09024
490G00005603,NaptanOnstreetBusCoachStopPair,Corbetts Lane,1,51.490942,-0.053175
490G00006203,NaptanOnstreetBusCoachStopPair,Drury Lane,1,51.516364,-0.12384
490G00006792,NaptanOnstreetBusCoachStopPair,Fendall Street,1,51.495681,-0.078243
490G00007362,NaptanOnstreetBusCoachStopCluster,Grange Road / Caledonian Market,1,51.496188,-0.082327
490G00007533,NaptanOnstreetBusCoachStopPair,Griggs Place,1,51.49644,-0.08066
490G00008932,NaptanOnstreetBusCoachStopPair,Lancaster Place,1,51.510522,-0.118935
490G00009482,NaptanOnstreetBusCoachStopPair,Lynton Road,1,51.490197,-0.059776
490G00010131,NaptanOnstreetBusCoachStopCluster,Museum Street,1,51.517577,-0.124338
490G00011538,NaptanOnstreetBusCoachStopPair,Reverdy Road,1,51.492687,-0.069523
490G00011632,NaptanOnstreetBusCoachStopPair,Rodney Place,1,51.494168,-0.094672
490G00011722,NaptanOnstreetBusCoachStopPair,Warndon Street,1,51.491062,-0.049079
490G00011723,NaptanOnstreetBusCoachStopPair,Rotherhithe Police Station,1,51.495006,-0.050452
490G00012353,NaptanOnstreetBusCoachStopCluster,Southwark Park Road / St James's Road,1,51.49188,-0.065308
490G00012367,NaptanOnstreetBusCoachStopPair,Spa Road,1,51.495374,-0.077665
490G00012693,NaptanOnstreetBusCoachStopCluster,St George's Circus,1,51.498613,-0.108173
490G00013485,NaptanOnstreetBusCoachStopPair,The Old Vic,1,51.50129,-0.109085
490G00018892,NaptanOnstreetBusCoachStopCluster,New Oxford Street,1,51.516726,-0.128466
490G00019012,NaptanOnstreetBusCoachStopPair,Bricklayer's Arms / Tower Bridge Road,1,51.495154,-0.083955
490G00019703,NaptanOnstreetBusCoachStopCluster,Aldwych / Drury Lane,1,51.512637,-0.118517
490G000401,NaptanOnstreetBusCoachStopCluster,Waterloo Station   / Waterloo Road,1,51.502979,-0.110687
490G000402,NaptanOnstreetBusCoachStopCluster,Waterloo Station / Tenison Way,1,51.504359,-0.113742
490G000403,NaptanOnstreetBusCoachStopPair,Beamish House,1,51.48961,-0.056401
490G000438,NaptanBusCoachStation,Canada Water Bus Station,1,51.497775,-0.049844
490G000529,NaptanOnstreetBusCoachStopPair,Galleywall Road / South Bermondsey Stn,1,51.489053,-0.058024
490G000642,NaptanOnstreetBusCoachStopCluster,Elephant & Castle / London Road,1,51.496634,-0.102003
490G000645,NaptanOnstreetBusCoachStopCluster,Elephant & Castle / New Kent Road,1,51.495006,-0.099218
490G000728,NaptanOnstreetBusCoachStopPair,Rotherhithe New Rd / Sth Bermondsey Stn,1,51.488924,-0.057309
490G000775,NaptanOnstreetBusCoachStopCluster,Surrey Quays Shopping Centre,1,51.494019,-0.046259
490G000819,NaptanOnstreetBusCoachStopPair,Waterloo Bridge / South Bank,1,51.506259,-0.115004
490G00112L,NaptanOnstreetBusCoachStopCluster,Holborn Station,1,51.516927,-0.120214
490G00229O,NaptanOnstreetBusCoachStopCluster,Surrey Quays Station,1,51.49271,-0.048101
490G00229S,NaptanOnstreetBusCoachStopCluster,Surrey Quays Station,1,51.493421,-0.046011
490G00235Z,NaptanOnstreetBusCoachStopCluster,Tottenham Court Road Station,1,51.51602,-0.12874
910GSURREYQ,NaptanRailStation,Surrey Quays Rail Station,1,51.493196,-0.047519
940GZZLUHBN,NaptanMetroStation,Holborn Underground Station,1,51.51758,-0.120475
490000003B,NaptanPublicBusCoachTram,St Botolph Street,100,51.514955,-0.07514
490000003R,NaptanPublicBusCoachTram,Aldgate Station,100,51.514079,-0.074932
490000202A,NaptanPublicBusCoachTram,Shadwell Station,100,51.510971,-0.055535
490000225W,NaptanPublicBusCoachTram,St Paul's Station,100,51.515308,-0.097321
490000251W,NaptanPublicBusCoachTram,Wapping Station,100,51.504426,-0.056174
490002076RV,NaptanPublicBusCoachTram,Tower Gateway Station,100,51.510792,-0.075214
490003172A,NaptanPublicBusCoachTram,All Hallows Church,100,51.516686,-0.084781
490003335E,NaptanPublicBusCoachTram,Garnet Street,100,51.506479,-0.05577
490004043N,NaptanPublicBusCoachTram,Bishopsgate,100,51.515916,-0.081138
490004043P,NaptanPublicBusCoachTram,Wormwood Street,100,51.516203,-0.082178
490004043Q,NaptanPublicBusCoachTram,Wormwood Street,100,51.516178,-0.082295
490005818K,NaptanPublicBusCoachTram,Minories,100,51.51275,-0.075564
490006229ZY,NaptanPublicBusCoachTram,Duke's Place,100,51.514571,-0.078629
490006246E,NaptanPublicBusCoachTram,Dundee Street,100,51.503367,-0.060614
490006246W,NaptanPublicBusCoachTram,Dundee Street,100,51.503245,-0.060864
490007207N,NaptanPublicBusCoachTram,Glamis Place,100,51.510214,-0.050509
490008089E,NaptanPublicBusCoachTram,Hermitage Wall,100,51.505219,-0.064973
490008089W,NaptanPublicBusCoachTram,Hermitage Wall,100,51.504935,-0.064654
490008734W,NaptanPublicBusCoachTram,King David Lane,100,51.510684,-0.052838
490008743N,NaptanPublicBusCoachTram,King Edward Street / St Pauls Station,100,51.516552,-0.098638
490009606S,NaptanPublicBusCoachTram,Mansell Street,100,51.51283,-0.073327
490010130E,NaptanPublicBusCoachTram,London Wall / Museum of London,100,51.517575,-0.095194
490010130W,NaptanPublicBusCoachTram,London Wall / Museum of London,100,51.517441,-0.095199
490010178S,NaptanPublicBusCoachTram,Nesham Street,100,51.506899,-0.066487
490011250E,NaptanPublicBusCoachTram,Clegg Street,100,51.505484,-0.057051
490012020A,NaptanPublicBusCoachTram,St George's Town Hall / Shadwell Stn,100,51.511039,-0.058559
490012020B,NaptanPublicBusCoachTram,St George's Town Hall / Shadwell Stn,100,51.511028,-0.058948
490012021N,NaptanPublicBusCoachTram,Stockholm Way,100,51.506011,-0.066626
490012457E,NaptanPublicBusCoachTram,St Paul's Church,100,51.509755,-0.052676
490013687J,NaptanPublicBusCoachTram,Tobacco Dock,100,51.50891,-0.058664
490013687K,NaptanPublicBusCoachTram,Tobacco Dock,100,51.509336,-0.058862
490014016N,NaptanPublicBusCoachTram,The Highway,100,51.507658,-0.066729
490014016S,NaptanPublicBusCoachTram,The Highway,100,51.508612,-0.067294
490014208E,NaptanPublicBusCoachTram,Wapping Station,100,51.504058,-0.056723
490014209N,NaptanPublicBusCoachTram,Wapping Health Centre,100,51.505808,-0.05868
490014209S,NaptanPublicBusCoachTram,Wapping Health Centre,100,51.506246,-0.058503
490014210E,NaptanPublicBusCoachTram,Sampson Street,100,51.503912,-0.06366
490014210W,NaptanPublicBusCoachTram,Sampson Street,100,51.503662,-0.063267
490014211S,NaptanPublicBusCoachTram,Wapping Wall,100,51.505394,-0.054303
490014944E,NaptanPublicBusCoachTram,St Katharine Docks,100,51.508441,-0.071682
490014944W,NaptanPublicBusCoachTram,St Katharine Docks,100,51.508326,-0.071788
490015074Z,NaptanPublicBusCoachTram,Tower Hill / Tower Gateway Station,100,51.509822,-0.073065
490015208A,NaptanPublicBusCoachTram,London Wall / Moorgate Station,100,51.517577,-0.089746
490015208N,NaptanPublicBusCoachTram,Moorgate Station,100,51.517441,-0.090256
49008743N1,NaptanPublicBusCoachTram,Little Britain,100,51.517613,-0.098075
490G00003172,NaptanOnstreetBusCoachStopPair,All Hallows Church,100,51.516686,-0.084781
490G00003335,NaptanOnstreetBusCoachStopPair,Garnet Street,100,51.506479,-0.05577
490G00003N,NaptanOnstreetBusCoachStopCluster,Aldgate Station,100,51.513556,-0.075357
490G00004043,NaptanOnstreetBusCoachStopCluster,Camomile Street,100,51.516178,-0.082295
490G00006246,NaptanOnstreetBusCoachStopPair,Dundee Street,100,51.503367,-0.060614
490G00007207,NaptanOnstreetBusCoachStopPair,Glamis Place,100,51.510214,-0.050509
490G00008089,NaptanOnstreetBusCoachStopPair,Hermitage Wall,100,51.504935,-0.064654
490G00008734,NaptanOnstreetBusCoachStopPair,King David Lane,100,51.510684,-0.052838
490G00008743,NaptanOnstreetBusCoachStopPair,Little Britain,100,51.517613,-0.098075
490G00010130,NaptanOnstreetBusCoachStopPair,London Wall / Museum of London,100,51.517575,-0.095194
490G00010178,NaptanOnstreetBusCoachStopPair,Nesham Street,100,51.506899,-0.066487
490G00012021,NaptanOnstreetBusCoachStopPair,Stockholm Way,100,51.506011,-0.066626
490G00012457,NaptanOnstreetBusCoachStopPair,St Paul's Church,100,51.509755,-0.052676
490G00014016,NaptanOnstreetBusCoachStopPair,The Highway,100,51.507658,-0.066729
490G00014209,NaptanOnstreetBusCoachStopPair,Wapping Health Centre,100,51.505808,-0.05868
490G00014210,NaptanOnstreetBusCoachStopPair,Sampson Street,100,51.503662,-0.063267
490G00014211,NaptanOnstreetBusCoachStopPair,Wapping Wall,100,51.505394,-0.054303
490G00014944,NaptanOnstreetBusCoachStopPair,St Katharine Docks,100,51.508441,-0.071682
490G00019038,NaptanOnstreetBusCoachStopCluster,St Botolph Street,100,51.514955,-0.07514
490G00019063,NaptanOnstreetBusCoachStopPair,Bishopsgate,100,51.515916,-0.081138
490G00019929,NaptanOnstreetBusCoachStopPair,King Edward Street / St Pauls Station,100,51.516552,-0.098638
490G000374,NaptanOnstreetBusCoachStopPair,London Wall / Moorgate Station,100,51.517577,-0.089746
490G000477,NaptanOnstreetBusCoachStopPair,Minories,100,51.51275,-0.075564
490G000492,NaptanOnstreetBusCoachStopPair,Duke's Place,100,51.514571,-0.078629
490G000654,NaptanOnstreetBusCoachStopCluster,Mansell Street,100,51.51283,-0.073327
490G000714,NaptanOnstreetBusCoachStopPair,Clegg Street,100,51.505484,-0.057051
490G000740,NaptanOnstreetBusCoachStopPair,St George's Town Hall / Shadwell Stn,100,51.511039,-0.058559
490G000801,NaptanOnstreetBusCoachStopCluster,Tobacco Dock,100,51.509336,-0.058862
490G000857,NaptanOnstreetBusCoachStopPair,Tower Hill / Tower Gateway Station,100,51.509822,-0.073065
490G00149M,NaptanOnstreetBusCoachStopCluster,Moorgate Station,100,51.517441,-0.090256
490G00202A,NaptanOnstreetBusCoachStopCluster,Shadwell Station,100,51.511882,-0.056188
490G00225S,NaptanOnstreetBusCoachStopCluster,St Paul's Station,100,51.514426,-0.095628
490G00251W,NaptanOnstreetBusCoachStopCluster,Wapping Station,100,51.504058,-0.056723
490G02076RV,NaptanOnstreetBusCoachStopCluster,Tower Gateway Station,100,51.510792,-0.075214
910GWAPPING,NaptanRailStation,Wapping Rail Station,100,51.504388,-0.055931
940GZZLUALD,NaptanMetroStation,Aldgate Underground Station,100,51.514246,-0.075689
940GZZLUSPU,NaptanMetroStation,St. Paul's Underground Station,100,51.514936,-0.097567
490000068A,NaptanPublicBusCoachTram,East Ham Station,101,51.540029,0.050975
490000068B,NaptanPublicBusCoachTram,East Ham Station,101,51.53938,0.051046
490000250D,NaptanPublicBusCoachTram,Wanstead High St / Wanstead Station,101,51.576752,0.027385
490001189N,NaptanPublicBusCoachTram,Manor Park Station,101,51.552082,0.046713
490001189S,NaptanPublicBusCoachTram,Manor Park Station,101,51.552829,0.046646
490003747N,NaptanPublicBusCoachTram,Albatross Close,101,51.519502,0.059508
490003747S,NaptanPublicBusCoachTram,Albatross Close,101,51.518442,0.05995
490003888D,NaptanPublicBusCoachTram,Bendish Road,101,51.538107,0.051379
490003888N,NaptanPublicBusCoachTram,Bendish Road,101,51.537543,0.051714
490003921N,NaptanPublicBusCoachTram,Berkeley Road,101,51.546932,0.048631
490003921S,NaptanPublicBusCoachTram,Berkeley Road,101,51.546487,0.048842
490004087N,NaptanPublicBusCoachTram,Blake Hall Crescent,101,51.566629,0.024597
490004087S,NaptanPublicBusCoachTram,Blake Hall Crescent,101,51.565865,0.025097
490004653N,NaptanPublicBusCoachTram,Bush Road,101,51.570651,0.02342
490004653S,NaptanPublicBusCoachTram,Bush Road,101,51.570511,0.023716
490004706N,NaptanPublicBusCoachTram,Cambridge Park,101,51.57305,0.023512
490004769W,NaptanPublicBusCoachTram,Capel Road,101,51.554264,0.04635
490004769Z,NaptanPublicBusCoachTram,Capel Road,101,51.554513,0.046505
490004881J,NaptanPublicBusCoachTram,Caledon Road,101,51.535893,0.052461
490005322N,NaptanPublicBusCoachTram,City of London Cemetery,101,51.556956,0.044638
490005694C,NaptanPublicBusCoachTram,Romford Road,101,51.550059,0.047719
490005694D,NaptanPublicBusCoachTram,Cranbourne Road,101,51.54968,0.048279
490006151N,NaptanPublicBusCoachTram,Dover Road,101,51.562007,0.034968
490006317A,NaptanPublicBusCoachTram,Beckton Bus Station,101,51.513882,0.060523
490006317D,NaptanPublicBusCoachTram,Beckton Bus Station,101,51.514138,0.060246
490006358N,NaptanPublicBusCoachTram,East Ham / Central Park,101,51.52878,0.056077
490006358S1,NaptanPublicBusCoachTram,East Ham / Central Park,101,51.52739,0.056361
490006359S,NaptanPublicBusCoachTram,East Ham Fire Station,101,51.523619,0.057546
490006360R,NaptanPublicBusCoachTram,High Street North,101,51.532924,0.053092
490006566N,NaptanPublicBusCoachTram,Empress Avenue,101,51.560489,0.038002
490006566S,NaptanPublicBusCoachTram,Empress Avenue,101,51.561018,0.037564
490006778S,NaptanPublicBusCoachTram,Felstead Road,101,51.572514,0.023849
490007200F,NaptanPublicBusCoachTram,Gladstone Avenue,101,51.541547,0.050567
490007200Y,NaptanPublicBusCoachTram,Gladstone Avenue,101,51.540801,0.050548
490008095S,NaptanPublicBusCoachTram,Herongate Road,101,51.562005,0.035617
490009348N,NaptanPublicBusCoachTram,Lonsdale Avenue,101,51.521595,0.058103
490009348S,NaptanPublicBusCoachTram,Lonsdale Avenue,101,51.521238,0.058491
490009662S,NaptanPublicBusCoachTram,Market Street,101,51.530591,0.055899
490009682N,NaptanPublicBusCoachTram,Marlow Road,101,51.526409,0.056403
490009816N,NaptanPublicBusCoachTram,Merlin Road,101,51.559622,0.039737
490009816S,NaptanPublicBusCoachTram,Merlin Road,101,51.56018,0.039229
490010045N,NaptanPublicBusCoachTram,Mortimer Road,101,51.524598,0.057114
490010218U,NaptanPublicBusCoachTram,Newham Town Hall,101,51.531752,0.055303
490010218V,NaptanPublicBusCoachTram,Newham Town Hall,101,51.531878,0.055294
490010812E,NaptanPublicBusCoachTram,Park Road,101,51.563031,0.031954
490010812W,NaptanPublicBusCoachTram,Park Road,101,51.562872,0.032308
490011001M,NaptanPublicBusCoachTram,Ron Leighton Way,101,51.535535,0.051364
490011372N,NaptanPublicBusCoachTram,Queenswood Gardens,101,51.563915,0.025559
490011372S,NaptanPublicBusCoachTram,Queenswood Gardens,101,51.564091,0.025754
490011661S,NaptanPublicBusCoachTram,Romford Road,101,51.551398,0.047274
490011801N,NaptanPublicBusCoachTram,Ruskin Avenue,101,51.545011,0.049425
490011801S1,NaptanPublicBusCoachTram,Ruskin Avenue,101,51.545371,0.049441
490012058N2,NaptanPublicBusCoachTram,Shelley Avenue,101,51.542925,0.049908
490012058S1,NaptanPublicBusCoachTram,Shelley Avenue,101,51.543447,0.049931
490013645L,NaptanPublicBusCoachTram,Kempton Road,101,51.534742,0.053001
490013665N,NaptanPublicBusCoachTram,Tilbury Road,101,51.529954,0.05577
490013691E,NaptanPublicBusCoachTram,Tollgate Road,101,51.516482,0.060424
490013691F,NaptanPublicBusCoachTram,Tollgate Road,101,51.516829,0.060123
490014040S,NaptanPublicBusCoachTram,Vicarage Lane,101,51.525174,0.057083
490014205N,NaptanPublicBusCoachTram,Wanstead Park Avenue,101,51.558817,0.041562
490014205S,NaptanPublicBusCoachTram,City of London Cemetery,101,51.558665,0.04258
490014816E,NaptanPublicBusCoachTram,Woodbine Place,101,51.57704,0.026821
490014816W,NaptanPublicBusCoachTram,Woodbine Place,101,51.576784,0.027055
490015125B,NaptanPublicBusCoachTram,Wanstead Station,101,51.575308,0.027119
490015125C,NaptanPublicBusCoachTram,Wanstead Station  / George Green,101,51.575082,0.026705
490G00003747,NaptanOnstreetBusCoachStopPair,Albatross Close,101,51.518442,0.05995
490G00003888,NaptanOnstreetBusCoachStopPair,Bendish Road,101,51.538107,0.051379
490G00003921,NaptanOnstreetBusCoachStopPair,Berkeley Road,101,51.546487,0.048842
490G00004087,NaptanOnstreetBusCoachStopPair,Blake Hall Crescent,101,51.566629,0.024597
490G00004653,NaptanOnstreetBusCoachStopPair,Bush Road,101,51.570511,0.023716
490G00004706,NaptanOnstreetBusCoachStopPair,Cambridge Park,101,51.57305,0.023512
490G00004769,NaptanOnstreetBusCoachStopPair,Capel Road,101,51.554513,0.046505
490G00004881,NaptanOnstreetBusCoachStopPair,Caledon Road,101,51.535893,0.052461
490G00005322,NaptanOnstreetBusCoachStopPair,City of London Cemetery,101,51.556956,0.044638
490G00006151,NaptanOnstreetBusCoachStopPair,Dover Road,101,51.562007,0.034968
490G00006358,NaptanOnstreetBusCoachStopCluster,East Ham / Central Park,101,51.52739,0.056361
490G00006359,NaptanOnstreetBusCoachStopPair,East Ham Fire Station,101,51.523619,0.057546
490G00006360,NaptanOnstreetBusCoachStopPair,High Street North,101,51.532924,0.053092
490G00006566,NaptanOnstreetBusCoachStopPair,Empress Avenue,101,51.561018,0.037564
490G00006778,NaptanOnstreetBusCoachStopPair,Felstead Road,101,51.572514,0.023849
490G00007200,NaptanOnstreetBusCoachStopPair,Gladstone Avenue,101,51.540801,0.050548
490G00008095,NaptanOnstreetBusCoachStopPair,Herongate Road,101,51.562005,0.035617
490G00009348,NaptanOnstreetBusCoachStopPair,Lonsdale Avenue,101,51.521595,0.058103
490G00009662,NaptanOnstreetBusCoachStopPair,Market Street,101,51.530591,0.055899
490G00009682,NaptanOnstreetBusCoachStopPair,Marlow Road,101,51.526409,0.056403
490G00009816,NaptanOnstreetBusCoachStopPair,Merlin Road,101,51.559622,0.039737
490G00010045,NaptanOnstreetBusCoachStopPair,Mortimer Road,101,51.524598,0.057114
490G00010218,NaptanOnstreetBusCoachStopCluster,Newham Town Hall,101,51.531752,0.055303
490G00010812,NaptanOnstreetBusCoachStopPair,Park Road,101,51.563031,0.031954
490G00011001,NaptanOnstreetBusCoachStopCluster,Ron Leighton Way,101,51.535716,0.051285
490G00011372,NaptanOnstreetBusCoachStopPair,Queenswood Gardens,101,51.563915,0.025559
490G00011661,NaptanOnstreetBusCoachStopPair,Romford Road,101,51.550059,0.047719
490G00011801,NaptanOnstreetBusCoachStopPair,Ruskin Avenue,101,51.545371,0.049441
490G00012058,NaptanOnstreetBusCoachStopPair,Shelley Avenue,101,51.542925,0.049908
490G00013645,NaptanOnstreetBusCoachStopPair,Kempton Road,101,51.534742,0.053001
490G00013665,NaptanOnstreetBusCoachStopPair,Tilbury Road,101,51.529954,0.05577
490G00013691,NaptanOnstreetBusCoachStopPair,Tollgate Road,101,51.516829,0.060123
490G00014049,NaptanOnstreetBusCoachStopPair,Vicarage Lane,101,51.525174,0.057083
490G00014205,NaptanOnstreetBusCoachStopPair,Wanstead Park Avenue,101,51.558817,0.041562
490G00014816,NaptanOnstreetBusCoachStopPair,Woodbine Place,101,51.57704,0.026821
490G00014821,NaptanOnstreetBusCoachStopPair,Wanstead High St / Wanstead Station,101,51.576752,0.027385
490G000469,NaptanOnstreetBusCoachStopPair,Cranbourne Road,101,51.54968,0.048279
490G000496,NaptanBusCoachStation,Beckton Bus Station,101,51.514138,0.060246
490G00068A,NaptanOnstreetBusCoachStopCluster,East Ham Station,101,51.53938,0.051046
490G00250A,NaptanOnstreetBusCoachStopCluster,Wanstead Station  / George Green,101,51.575308,0.027119
910GMANRPK,NaptanRailStation,Manor Park Rail Station,101,51.552477,0.046342
940GZZLUEHM,NaptanMetroStation,East Ham Underground Station,101,51.538948,0.051186
940GZZLUWSD,NaptanMetroStation,Wanstead Underground Station,101,51.575501,0.028527
490000028C,NaptanPublicBusCoachTram,Bounds Green Station,102,51.608056,-0.123586
490000028D,NaptanPublicBusCoachTram,Bounds Green Station,102,51.607554,-0.123636
490000067E,NaptanPublicBusCoachTram,East Finchley Station,102,51.586587,-0.164254
490000067H,NaptanPublicBusCoachTram,East Finchley Station,102,51.58689,-0.164054
490003108S,NaptanPublicBusCoachTram,Addison Way,102,51.588046,-0.199765
490003158N,NaptanPublicBusCoachTram,Albert Road,102,51.602392,-0.130982
490003158S,NaptanPublicBusCoachTram,Albert Road,102,51.601674,-0.131603
490003324A,NaptanPublicBusCoachTram,Angel Corner / Silver Street Station,102,51.614578,-0.065555
490003324B,NaptanPublicBusCoachTram,Angel Corner / Silver Street Station,102,51.61474,-0.065533
490003529A,NaptanPublicBusCoachTram,Aylmer Road,102,51.584342,-0.167304
490003564E,NaptanPublicBusCoachTram,Pymmes Road,102,51.612546,-0.118678
490003564W,NaptanPublicBusCoachTram,Pymmes Road,102,51.612319,-0.117951
490003723E,NaptanPublicBusCoachTram,Beaufort Drive,102,51.588523,-0.194564
490003723W,NaptanPublicBusCoachTram,Beaufort Drive,102,51.588491,-0.194825
490003881E,NaptanPublicBusCoachTram,Belvedere Court,102,51.584482,-0.170517
490003881W,NaptanPublicBusCoachTram,Belvedere Court,102,51.584144,-0.169621
490004017K,NaptanPublicBusCoachTram,Birchwood Avenue,102,51.590952,-0.148415
490004093E,NaptanPublicBusCoachTram,Blandford Close,102,51.585383,-0.177554
490004093W,NaptanPublicBusCoachTram,Blandford Close,102,51.58533,-0.178812
490004282A,NaptanPublicBusCoachTram,Brent Cross Shopping Centre,102,51.575647,-0.223519
490004282D,NaptanPublicBusCoachTram,Brent Cross Shopping Centre,102,51.575761,-0.222692
490004463E,NaptanPublicBusCoachTram,Brookland Rise,102,51.58708,-0.191344
490004463W,NaptanPublicBusCoachTram,Brookland Rise,102,51.586738,-0.190737
490004490N,NaptanPublicBusCoachTram,Bowes Road,102,51.612183,-0.12187
490004490S,NaptanPublicBusCoachTram,Bowes Road,102,51.612091,-0.12173
490004712E1,NaptanPublicBusCoachTram,Cambridge Roundabout / East Side,102,51.616365,-0.084604
490004712W2,NaptanPublicBusCoachTram,Cambridge Roundabout / West Side,102,51.616185,-0.088425
490005091E,NaptanPublicBusCoachTram,Chequers Way,102,51.615824,-0.097785
490005091W,NaptanPublicBusCoachTram,Chequers Way,102,51.615941,-0.094978
490005162N,NaptanPublicBusCoachTram,Childs Way,102,51.585576,-0.199992
490005162S,NaptanPublicBusCoachTram,Childs Way,102,51.585025,-0.199812
