Day-id_o_id_d;Early;Morning;AM Peak;Midday;PM Peak;Evening;Late;Night;Total
MTT-3_65;0;0.511;1;2;2;1;0;0;6.149
MTT-3_66;0;2;9;3;1;1;0;0;15.527
MTT-3_69;0;0;1;1;1;0;0;0;3.87699997
MTT-3_71;0;0.752;3;4;3;1.67;0;0;12.761
MTT-3_76;0;0.132;2;3;1;0;0;0;6.216
MTT-3_78;0;0.115;2;2;1;0;0;0;3.949
MTT-3_80;0;0;1;0;0;0;0;0;2.52
MTT-3_81;0;3.05;2.73;5;3;0.229;0.142;0;14.306
MTT-3_82;0;4;10;7;1;0;0;0;22.146
MTT-3_84;0;6;17;10;4;1;0;0;37.57400003
MTT-3_86;0;2;2;1;1;0;0;0;5.425
MTT-3_87;0;0.397;1.92;1;0;0;0;0;4.242
MTT-3_90;0;6;22;12;4;1;1;0;44.9820005
MTT-3_92;0;0.48700002;3;1;0.58;0;0;0;4.91800002
MTT-3_94;0;49;185;102;39;15;3;0;393.9540001
MTT-3_100;0;2;9;11;12;2;1;0;36.547
MTT-3_265;0;0.182;1;1;1;0;0;0;2.796
MTT-3_105;0;0.066;0;0;1;0;0;0;1.565000005
MTT-3_107;0;0.231;0.997;0;0;0.433;0;0;2.416
MTT-3_106;0;0.107;4.09;5;0.992;0.517;1;0;11.295
MTT-3_109;0;3;4;5;6;2.91;0;0;20.6140002
MTT-3_110;0;5;12;7;7;1;0;0;33.465
MTT-3_112;0;2;2;2;2;0;0;0;8.878
MTT-3_114;0;6;19;24;29;14;3;0;93.582
MTT-3_115;0;15;48;31;47;16;5;0;161.034997
MTT-3_116;0;10;21.36;20;23;11;3;0;89.4210015
MTT-3_117;0;3;14;5;2;0;0;0;25.161
MTT-3_118;0;3;5;1;3;1;0.097;0;13.349
MTT-3_119;0;0.583;1;0;1;0;0;0;2.724
MTT-3_124;0;0;2;1;1;1;0;0;5.643
MTT-3_127;0;7;16;15;10;2;0;0;49.98900011
MTT-3_129;0;16;30;15;5;1;0;0;66.7780003
MTT-3_130;0;0.876;3;2;0;0;0;0;6.086
MTT-3_131;0;0;2;0;0;0;0;0;1.952
MTT-3_133;0;0.24499999;0.983;1.12;0.186;0.476;0;0;3.00999999
MTT-3_134;0;2;9;12;6;2;1;0;32.0139999
MTT-3_135;0;0;0;0.77;0.759;0.215;0;0;1.744
MTT-3_136;0;0;0;0.26;2;0.342;0;0;2.221
MTT-3_137;0;3;5;3;4;0;0;0;14.463
MTT-3_138;0;2;8;9;5;1;0;0;24.856
MTT-3_141;0;0.211;1;3;2;1;0;0;7.148
MTT-3_142;0;3;2;0;0;0;0;0;5.651
MTT-3_145;0;0;3;2;0;0;0;0;5.217
MTT-3_149;0;0;1;1;1;0;0;0;2.730999996
MTT-3_150;0;0;0;1;2;0;1;0;3.43900003
MTT-3_151;0;1;2;0;0;0;0;0;2.64600001
MTT-3_153;0;0.163;0.018;1;0.739;0.139;0;0;1.883
MTT-3_155;0;0.543;55;8;9;3;1;0;76.873
MTT-3_159;0;3;20;5;9;2;0;0;40.398
MTT-3_161;0;0;2;2;1;0.296;0;0;4.38
MTT-3_163;0;1;0;1;1;0;0.001;0;3.629
MTT-3_162;0;0;1;0;1;0;0;0;2.597999934
MTT-3_164;0;0.273;0.978;1;0;0.1;0;0;2.645
MTT-3_165;0;0.404;1;1;1;0;0;0;3.232
MTT-3_166;0;0.733;4;2;1;0;0;0;8.83100001
MTT-3_167;0;5;12;7;8;3;1;0;37.0020005
MTT-3_169;0;2;4;4;2;0.623;0;0;12.971
MTT-3_170;0;2;4;2;2;0.22;0;0;10.464
MTT-3_171;0;13;65;25;16;8;0.67;0;126.9969995
MTT-3_172;0;0;5;1;1;0.595;1;0;9.506
MTT-3_174;0;11;17;17;7;3;1;0;56.073
MTT-3_176;0;0;0;0;1;0.268;0;0;2.064
MTT-3_179;0;3;11;4;1;0.512;1;0;20.58
MTT-3_183;0;1;10;3;0.972;0.093;0;0;15.0979999
MTT-3_184;0;3;32;47;59;28;5;0;173.581
MTT-3_187;0;10;43;11;6;0.387;1;0;72.146
MTT-3_188;0;0.021;0;0;0.848;0;0;0;1.245
MTT-3_190;0;0.117;2;2;0;0;0;0;3.908
MTT-3_193;0;6;7;10;7;2;1;0;32.644
MTT-3_192;0;1;5;4;6;3;1;0.117;19.157
MTT-3_194;0;2;8;8;4;0.175;0;0;22.24
MTT-3_210;0;4;17;2;2;0.959;0;0;26.017
MTT-3_212;0;0.59999996;4;1;0;0;0;0;6.00599996
MTT-3_195;0;0.229;0.772;4;2;1;0;0;9.127
MTT-3_198;0;6;12;6;1;0;0;0;24.852
MTT-3_200;0;1;7;7;8;2;1;0;26.27199996
MTT-3_207;0;0.745;1;0.8;3;1;0;0;6.856
MTT-3_208;0;2;1;2;2;0;0;0;7.6449999
MTT-3_201;0;12;40;59;74.87;34;7;0;226.485
MTT-3_202;0;8;39;25;11;1;0;0;84.073
MTT-3_213;0;0.845;14;4;4;2;0.157;0;24.0930001
MTT-3_215;0;0;1;0.518;0;0;0;0;2.597
MTT-3_216;0;0.517;0.223;1;2;0;0;0;3.647000001
MTT-3_43;0;1;2;1;1;0;0;0;4.514
MTT-3_218;0;0;3;4;3;1;0;0;11.999
MTT-3_219;0;7;15;26;31;23;4;0;105.5110002
MTT-3_220;0;1;5;12;15;10;2;1;47.599
MTT-3_222;0;1;0.986;1;0;0;0;0;3.018
MTT-3_224;0;0;1;1;1;0.134;0;0;2.584
MTT-3_225;0;2.11;2;3;2;1;0.138;0;10.521
MTT-3_226;0;1;3;3;2;0.14;0;0;9.292
MTT-3_227;0;3;2;2;2;1;0;0;9.3150001
MTT-3_229;0;2;5;3;1;0;0;0;11.8610003
MTT-3_231;0;9;15;6;7;0;1;0;37.522
MTT-3_232;0;2;2;4;3.79;1.24;0.239;0;12.884
MTT-3_236;0;0;0.225;2;2;0;0;0;5.286
MTT-3_237;0;11;87;69;25;12;2;0.043;205.849
MTT-3_239;0;6;19;11;6;1;1;0;43.434
MTT-3_240;0;0;0;3;4;0;0;0;7.535
MTT-3_242;0;0.43400002;2;2;0;0.097;0;0;4.66500002
MTT-3_244;0;1;4;3;4;0.197;0;0;12.5300001
MTT-3_245;0;0;0.038000003;0.26000002;2;1;0;0;2.784000058
MTT-3_256;0;1;1;2;1;0;0;0;4.2
MTT-3_249;0;3;6;2;2;0;0;0;13.13499999
MTT-3_251;0;0;0;0.451;0.292;0.21800001;0;0;1.10800001
