Day-id_o_id_d;Early;Morning;AM Peak;Midday;PM Peak;Evening;Late;Night;Total
SUN-2_26;0;33.183;164.792;175.842;121.098;48.639;0;0;543.554
SAT-2_26;7.798;30.155;164.496;151.072;115.651;98.213;0;0;567.385
MTT-2_26;4.297;51.056;142.194;426.43;234.137;84.944;0;0;943.058
FRI-2_26;5.337;40.704;151.554;379.539;186.319;116.24;0;0;879.693
SUN-2_27;0;20.039;97.209;138.12;90.172;45.035;0;0;390.575
SAT-2_27;6.0820003;26.959;108.998;134.267;110.523;108.018;0;0;494.8470003
MTT-2_27;22.19;135.77;94.427;460.594;232.403;75.325;0;0;1020.709
FRI-2_27;21.647;118.006;108.51;383.057;185.629;121.817;0;0;938.666
SUN-2_28;0;25.398;142.647;207.785;161.904;122.3;0;0;660.034
SAT-2_28;10.569;24.883;165.152;180.894;144.031;214.838;0;0;740.367
MTT-2_28;16.896;83.614;330.267;856.789;262.313;173.27;0;0;1723.149
FRI-2_28;15.782;92.847;274.07;721.613;229.974;193.444;0;0;1527.73
SUN-2_29;0;9.417;35.208;33.862;10.524;3.867;0;0;92.878
SAT-2_29;1.074;19.339;69.094;47.019;23.962;15.485;0;0;175.973
MTT-2_29;7.705;62.391;14.946;121.61;37.117;6.558;0;0;250.327
FRI-2_29;6.859;43.249;14.559;120.803;41.285;15.221;0;0;241.976
SUN-2_30;0;1.439;1.214;2.641;0.325;0.005;0;0;5.624
SAT-2_30;0.26;1.026;1.816;2.405;1.358;0.155;0;0;7.02
MTT-2_30;0.474;3.26;0.162;0.62700003;1.405;0.365;0;0;6.29300003
FRI-2_30;0.827;2.805;0.235;0.49;0.924;0.328;0;0;5.609
SUN-2_31;0;3.05;17.695;16.596;7.62;0.828;0;0;45.789
SAT-2_31;0.368;6.354;39.011;33.378;21.15;14.384;0;0;114.645
MTT-2_31;5.059;29.557;6.518;85.155;29.975;4.405;0;0;160.669
FRI-2_31;2.574;18.02;10.567;90.126;32.151;12.419;0;0;165.857
SUN-2_32;0;9.69;78.045;64.675;24.137001;3.844;0;0;180.391001
SAT-2_32;1.301;13.79;96.852;85.772;44.43;25.271;0;0;267.416
MTT-2_32;6.839;34.448;20.024;212.624;97.832;13.619;0;0;385.386
FRI-2_32;4.87;29.891;23.454;211.34;85.005;31.428;0;0;385.988
SUN-2_33;0;125.069;854.716;785.784;474.759;200.591;0;0;2440.919
SAT-2_33;22.908;195.268;1156.315;941.171;659.102;496.022;0;0;3470.786
MTT-2_33;59.213;430.566;625.622;1321.9;576.446;271.527;0;0;3285.274
FRI-2_33;50.166;438.508;791.237;1269.122;612.845;420.806;0;0;3582.684
SUN-2_34;0;89.328;300.553;295.771;196.197;80.751;0;0;962.6
SAT-2_34;13.519;151.042;383.691;295.595;237.335;176.826;0;0;1258.008
MTT-2_34;76.102;1111.127;666.228;890.43;464.302;160.923;0;0;3369.112
FRI-2_34;69.635;948.391;617.793;776.183;403.008;224.201;0;0;3039.211
MTT-2_35;2.798;0.926;2.683;0;0.579;1.087;0;0;8.073
FRI-2_35;2.074;0.395;1.758;0;0.444;1.103;0;0;5.774
MTT-2_37;0;0;0.119;0;0.118;0;0;0;0.237
FRI-2_37;0;0;0.037;0;0.21800001;0.086;0;0;0.34100001
MTT-2_38;0;0;0;0;0;0.083000004;0;0;0.083000004
FRI-2_38;0;0;0;0;0;0.285;0;0;0.285
SUN-2_39;0;12.049;55.628;25.091;9.742;3.262;0;0;105.772
SAT-2_39;0.513;15.761;90.88;41.812;19.701;8.922;0;0;177.589
MTT-2_39;0.487;2.048;6.063;7.053;2.418;0.187;0;0;18.256
FRI-2_39;0;2.171;8.832;8.434;2.304;1.638;0;0;23.379
MTT-2_40;0;0;0;0;0.162;0;0;0;0.162
FRI-2_40;0;0;0;0;0.027;0;0;0;0.027
SUN-2_41;0;0;10.788;5.109;1.796;0.369;0;0;18.062
SAT-2_41;0.107;1.366;22.494;11.679;6.703;6.384;0;0;48.733
MTT-2_41;0;3.784;19.297;23.104;11.561;7.351;0;0;65.097
FRI-2_41;0.449;3.025;23.745;32.512;12.521;12.671;0;0;84.923
SUN-2_42;0;14.6380005;58.420002;64.759;42.004;19.505;0;0;199.3260025
SAT-2_42;5.9570003;28.297;76.893;69.543;48.849;56.139;0;0;285.6780003
MTT-2_42;18.865;96.632;62.184002;226.404;94.381;35.956;0;0;534.422002
FRI-2_42;15.034;79.221;73.82;192.133;74.87;54.391;0;0;489.469
SUN-2_43;0;93.685;606.21;562.06903;346.665;168.816;0;0;1777.44503
SAT-2_43;27.447;117.711;678.996;549.686;410.258;337.948;0;0;2122.046
MTT-2_43;69.319;470.834;591.044;1139.483;559.303;293.618;0;0;3123.601
FRI-2_43;64.647;432.845;667.016;998.364;512.219;391.066;0;0;3066.157
SUN-2_44;0;155.628;413.327;415.79102;283.95;121.181;0;0;1389.87702
SAT-2_44;39.579;175.535;553.68;485.128;317.363;267.828;0;0;1839.113
MTT-2_44;172.059;509.907;589.15;1387.697;735.973;293.134;0;0;3687.92
FRI-2_44;154.139;445.871;626.861;1277.996;640.837;408.524;0;0;3554.228
SUN-3_0;0;0;1.7919999;2.304;0.431;0;0;0;4.5269999
SAT-3_0;0;1.301;2.833;4.964;0.603;0;0;0;9.701
MTT-3_0;0;0.379;3.061;1.609;0.97800004;0.344;0;0;6.37100004
FRI-3_0;0;1.849;4.478;3.34;1.137;0;0;0;10.804
SUN-3_1;0;0;3.402;0.851;0.30400002;0.29;0;0;4.84700002
SAT-3_1;0;0.901;2.726;1.182;1.352;1.041;0;0;7.202
MTT-3_1;0;2.013;2.205;2.585;1.4350001;0.398;0;0;8.6360001
FRI-3_1;0;1.109;4.241;2.663;1.828;1.6389999;0;0;11.4799999
SUN-3_2;5.86;20.471;13.992;3.17;4.052;0.969;0;0;48.514
SAT-3_2;16.025;8.98;13.106;5.893;2.848;5.442;0;0;52.294
MTT-3_2;56.439;83.729;13.457;30.01;5.953;3.477;0;0;193.065
FRI-3_2;52.395;76.111;16.33;33.15;6.329;3.043;0;0;187.358
SUN-3_4;0.197;0.38;2.751;1.02;0.332;0;0;0;4.68
SAT-3_4;0.37100002;0.102;2.7350001;1.451;0.607;0.741;0;0;6.00700012
MTT-3_4;3.652;2.041;3.704;0.96500003;1.002;0.742;0;0;12.10600003
FRI-3_4;2.145;3.66;3.595;2.539;0.859;0;0;0;12.798
SUN-3_5;0;0.368;4.595;2.616;1.804;0;0;0;9.383
SAT-3_5;2.626;10.176;9.021;3.818;1.639;0;0;0;27.28
MTT-3_5;5.802;24.407999;6.868;4.351;1.456;0.207;0;0;43.091999
