Day-id_o_id_d;Early;Morning;AM Peak;Midday;PM Peak;Evening;Late;Night;Total
FRI-106_93;0;15.414;124.482;68.774;38.775;22.984999;16.398;0;286.827999
FRI-107_10;0;0.74300003;1.416;0.738;0.525;0.448;0;0;3.87000003
FRI-107_102;0;0;5.446;5.198;6.126;2.311;0.219;0;19.3
FRI-107_103;0;1.186;1.122;2.372;0.99899995;0.253;0.207;0;6.13899995
FRI-107_105;0;1.163;0.80399996;0.91;1.988;0.367;0.121;0;5.35299996
FRI-107_106;0;18.9;158.834;122.018;67.26;38.228;7.461;0;412.701
FRI-107_109;0;0;1.3379999;1.0500001;0.185;0.308;0.051;0;2.932
FRI-107_17;0;0.90999997;2.007;0.86300004;0.44300002;0.2;0.092;0;4.51500003
FRI-107_20;0;0;1.475;0.858;0.427;0.28100002;0.051000003;0;3.092000023
FRI-107_21;0;2.522;38.289;18.551;14.575;8.058;2.997;0;84.992
FRI-107_27;0;0.282;0.83;0;0.859;0.11;0;0;2.081
FRI-107_29;0;0.196;0.672;0.867;0;0.132;0;0;1.867
FRI-107_31;0;1.039;2.221;1.132;0.817;0.337;0;0;5.546
FRI-107_33;0;3.285;14.959;7.026;3.455;0.218;0.227;0;29.17
FRI-107_34;0;1.224;0.803;0.503;0.26;0.002;0;0;2.792
FRI-107_39;0;1.589;4.129;2.911;0.538;0.343;0.133;0;9.643
FRI-107_42;0;0.363;2.162;1.801;1.865;0.429;0.076000005;0;6.696000005
FRI-107_48;0;8.915999;59.755;27.675001;29.643;16.744;5.639;0;148.372
FRI-107_55;0;0.157;1.16;0.664;0.645;0.714;0.127;0;3.467
FRI-107_56;0;0.191;0.353;0.198;0.135;0.037;0;0;0.914
FRI-107_57;0;0.70299995;35.248;37.632;25.999;10.477;1.825;0;111.884
FRI-107_58;0;0;7.3599997;11.167;14.941;6.816;0.616;0;40.8999997
FRI-107_6;0;64.121;173.822;106.595;87.991;31.125;8.677;0;472.331
FRI-107_7;0;14.160999;80.537;85.915;84.945;36.345;8.066;0;309.968999
FRI-107_71;0;0.35500002;0.796;0.828;1.04;0.205;0;0;3.22400002
FRI-107_82;0;0.498;0.443;0;0.779;0.087;0.002;0;1.809
FRI-107_88;0;1.867;61.125;31.634;31.788;13.571;5.274;0;145.259
FRI-107_93;0;15.297001;53.274998;30.381;20.399;7.759;5.665;0;132.775999
FRI-108_1;0;0;1.258;2.987;6.115;4.221;1.068;0;15.649
FRI-108_105;0;0.29500002;0.737;0.557;0.89;0.152;0.058;0;2.68900002
FRI-108_110;0;0;2.391;5.371;2.529;2.054;4.347;0;16.692
FRI-108_14;0;0;2.931;2.482;2.868;0.423;0.201;0;8.905
FRI-108_15;0;3.286;33.912;30.769;45.99;23.667;19.068;0;156.692
FRI-108_16;0;0.124;6.4309998;6.1809998;19.595;8.897;3.991;0;45.2189996
FRI-108_17;0;0.009000001;4.679;4.059;3.173;1.2409999;0.568;0;13.7289999
FRI-108_18;0;0;8.994;6.528;7.592;2.8;2.231;0.178;28.323
FRI-108_22;4.058;59.513;465.859;502.702;409.299;179.696;96.071;6.334;1723.532
FRI-108_23;0;0.085;3.191;7.001;17.893;8.84;5.832;0;42.842
FRI-108_24;0.54;0.221;8.8619995;30.187;29.956;20.647;9.401999;0.518;100.3329985
FRI-108_26;0;0.19;17.712;9.184;9.695;5.634;6.119;0;48.534
FRI-108_3;0;0.51699996;3.628;7.846;12.408;9.557;3.514;0;37.46999996
FRI-108_32;0;0.25800002;0.612;7.59;14.319;7.125;3.5080001;0;33.41200012
FRI-108_33;0;0.006;0.98800004;0.58;1.216;0.813;0.42000002;0;4.02300006
FRI-108_34;0;0;0.016;0.091;0;0;0;0;0.107
FRI-108_38;1.015;5.529;36.203;49.269;65.327;26.187;18.972;2.512;205.014
FRI-108_39;0;0.364;0.855;1.579;0.968;0.648;0.156;0;4.57
FRI-108_41;0.412;0.27;11.721;6.366;6.06;5.465;5.394;0.422;36.11
FRI-108_44;0;0;0.836;0.264;1.3249999;0.32;0.144;0;2.8889999
FRI-108_45;0;0;2.789;1.402;1.367;1.283;0.403;0;7.244
FRI-108_46;0;0.275;13.84;13.156;11.149;9.083;3.492;0.49400002;51.48900002
FRI-108_47;0;0;2.974;3.928;11.099;5.077;2.746;0;25.824
FRI-108_50;0;0.346;4.308;2.429;0.508;0.547;0.001;0;8.139
FRI-108_53;0;0;0.009;0.143;0.093;0;0;0;0.245
FRI-108_56;0;0.148;0.602;0.261;0.38;0.106;0.028;0;1.525
FRI-108_62;0;0.796;2.79;3.645;10.727;3.378;0.842;0;22.178
FRI-108_63;0;1.158;15.22;18.151001;32.109;6.969;4.239;0;77.846001
FRI-108_64;2.709;0;13.425;13.033;18.038;8.992;10.421;3.3470001;69.9650001
FRI-108_66;0;0.07;4.495;6.969;13.861;8.992;10.035;0;44.422
FRI-108_67;0;0;2.003;1.428;4.548;2.558;1.885;0;12.422
FRI-108_69;0;0.20300001;7.749;9.175;12.641;5.283;7.916;0;42.96700001
FRI-108_73;0.183;0.11;14.573;25.103;29.676;23.221;9.693;0.071;102.63
FRI-108_76;1.772;8.19;144.397;77.488;54.127;42.691;17.974;1.429;348.068
FRI-108_77;0;3.103;32.631;37.69;25.754;14.982;8.465;0.13;122.755
FRI-108_87;0.243;0.19700001;1.658;5.178;6.007;5.432;3.394;0.958;23.06700001
FRI-108_90;0;0.414;1.909;4.487;13.452;8.426;6.514;0;35.202
FRI-108_96;0;0;0.058000002;0.041;0;0.049000002;0.024;0;0.172000004
FRI-108_97;0.485;24.709;293.167;268.749;202.326;78.551;52.129;0.118;920.234
FRI-108_98;0;3.0800002;14.67;15.969;20.438;6.756;3.251;0;64.1640002
FRI-109_10;0;0.287;0.207;0.087000005;0.394;0.146;0.066;0;1.187000005
FRI-109_104;0;0.033;3.433;0.359;0.71900004;0.051;0.030000001;0;4.625000041
FRI-109_105;0;1.813;0.241;0.263;0.231;0;0;0;2.548
FRI-109_107;0;0.116;0.31599998;0.60400003;1.49;0.73;0.226;0;3.48200001
FRI-109_11;0;0.486;1.563;3.299;3.55;0.855;0.419;0;10.172
FRI-109_12;0;1.31;22.54;20.248;23.627;5.8919997;1.65;0;75.2669997
FRI-109_15;0;0.041;0;0.019;0.074;0.035;0;0;0.169
FRI-109_17;0;0.883;1.881;0.941;0.39200002;0.214;0;0;4.31100002
FRI-109_18;0;0.005;0.328;1.7670001;1.39;0.182;0.054;0;3.7260001
FRI-109_20;0;1.7360001;41.442;19.263;28.257;12.876;0.905;0;104.4790001
FRI-109_25;0;0.144;2.34;1.288;1.196;0.472;0;0;5.44
FRI-109_27;0;0.044999998;0.92;0.291;0.415;0.169;0.092;0;1.931999998
FRI-109_29;0;0.076;0.35799998;0.938;0.026;0.018000001;0;0;1.415999981
FRI-109_33;0;0.237;0.426;0.585;0.24;0.126;0.004;0;1.618
FRI-109_34;0;0.06;0.074;0.118;0.098000005;0.014;0;0;0.364000005
FRI-109_35;0;4.432;48.627;43.342;19.979;8.898;2.537;0;127.815
FRI-109_38;0;0;0;0;0;0.035;0;0;0.035
FRI-109_39;0;0.754;0.645;0.87;0.054;0.15;0.003;0;2.476
FRI-109_4;0;13.957;41.458;37.652;21.975;6.258;3.841;0;125.141
FRI-109_42;0;0.24;18.382;20.473999;17.462;7.819;3.566;0;67.942999
FRI-109_44;0;0.65599996;6.137;2.151;1.873;1.275;0.242;0;12.33399996
FRI-109_45;0;0.124;2.64;1.3;2.089;0.407;0.163;0;6.723
FRI-109_46;0;0;0;0.056;0;0;0;0;0.056
FRI-109_5;0;0.003;0.34;0.244;0.115;0.106;0.20500001;0;1.01300001
FRI-109_59;0;0.566;4.978;2.417;3.133;1.8479999;0.252;0;13.1939999
FRI-109_60;0;140.881;515.981;260.954;107.433;44.751;11.848;0;1081.848
FRI-109_7;0;0.70000005;3.299;2.169;0;0.943;0.022;0;7.13300005
FRI-109_71;0;0.065;0.127;0.442;0.311;0.079;0;0;1.024
FRI-109_78;0;0;0.009;0.49199998;0.067;0.094;0;0;0.66199998
FRI-109_79;0;1.6539999;21.832;36.434;18.629;6.3;1.157;0;86.0059999
FRI-109_93;0;0.437;0;0;0.562;0.001;0;0;1
FRI-109_95;0;100.868;411.117;379.835;258.16;70.239;13.281;0;1233.5
FRI-11_104;0;1.234;18.652;22.951;24.332;12.212;6.083;0;85.464
FRI-11_109;0;0.034;2.314;5.004;3.469;0.718;0.40600002;0;11.94500002
FRI-11_12;0;0.001;0.779;1.548;3.853;0.947;0.321;0;7.449
FRI-11_13;0;0;0;0.82;0.528;0.235;0.151;0;1.734
FRI-11_14;0;0;1.9480001;1.307;1.923;0.856;0.391;0;6.4250001
FRI-11_17;0;0;2.364;3.111;1.669;0.944;0.742;0;8.83
FRI-11_2;0;5.502;22.947;45.423;73.465;37.124;12.6119995;0;197.0729995
FRI-11_20;0;0;0.23200001;2.168;2.459;1.286;0;0;6.14500001
FRI-11_27;0;2.598;14.451;22.942;51.209;20.111;9.110001;0;120.421001
FRI-11_29;0;2.102;15.349;14.723;22.294;10.037;2.2549999;0;66.7599999
FRI-11_33;0;0;1.5619999;0.292;1.166;1.044;0.284;0;4.3479999
FRI-11_35;0;1.573;3.8509998;8.76;11.13;7.151;2.2910001;0;34.7559999
FRI-11_38;0;0;0.555;0.128;0.626;0.187;0;0;1.496
FRI-11_39;0;0.249;1.241;1.2870001;0.939;0.837;0.368;0;4.9210001
FRI-11_4;0;0;0.434;3.311;2.669;2.869;0.83;0;10.113
FRI-11_42;0;0;1.359;2.6660001;5.853;1.493;0.417;0;11.7880001
FRI-11_5;0;0.662;1.453;3.683;10.77;5.83;2.542;0;24.94
FRI-11_56;0;0;0.139;0.192;0.477;0.22500001;0.042;0;1.07500001
FRI-11_59;0;0;0.444;5.341;2.524;1.492;0.658;0;10.459
FRI-11_60;0;8.407;116.012;72.795;40.392;21.891;8.774;0;268.271
FRI-11_70;0;0.346;3.713;22.77;6.899;12.018;5.56;0;51.306
FRI-11_75;0;4.546;8.507;8.486;11.784;3.326;2.388;0;39.037
FRI-11_78;0;0;0.015999999;0.206;0;0;0;0;0.221999999
FRI-11_79;0;0.001;0.521;4.691;4.975;5.079;1.038;0;16.305
FRI-11_81;0;2.5549998;18.513;36.329998;34.118;25.952;12.093;0;129.5609978
FRI-11_82;0;7.282;22.43;33.202;40.991;14.625;2.929;0;121.459
FRI-11_83;0;5.537;26.268;48.458;44.215;17;8.085;0;149.563
FRI-11_89;0;5.878;36.273;68.194;85.856;51.415;20.063;0;267.679
FRI-11_91;0;1.96;3.2910001;3.479;7.472;5.301;2.708;0;24.2110001
FRI-11_92;0;1.622;5.392;6.4;7.352;6.3009996;2.624;0;29.6909996
FRI-11_95;0;0.064;1.523;7.633;10.257;9.224;2.744;0;31.445
FRI-110_105;0;1.009;1.108;8.175;3.491;1.675;2.146;0;17.604
FRI-110_108;0;0;1.6290001;7.285;2.927;1.205;1.158;0;14.2040001
FRI-110_15;0;1.961;20.528;125.838;50.377;21.339;9.592;0;229.635
FRI-110_16;0;0.092999995;2.506;16.02;3.811;3.204;0.583;0;26.217
FRI-110_22;0;7.211;20.348999;50.56;25.213;21.934;8.025;0;133.291999
FRI-110_24;0;0.431;1.228;8.609;4.519;5.217;1.769;0;21.773
FRI-110_26;0;2.092;19.703;53.086998;15.569;15.769;6.259;0;112.478998
FRI-110_3;0;0.066;0.038;1.907;1.478;1.364;0.96900004;0;5.82200004
FRI-110_32;0;0.063;0.147;2.487;0.906;2.263;0.31;0;6.176
FRI-110_41;0;0;2.017;4.71;1.7129999;2.713;1.515;0;12.6679999
FRI-110_46;0;0.149;1.96;4.202;1.737;3.384;0.812;0;12.244
FRI-110_50;0;0.014;2.7549999;0.85400003;0.541;1.4959999;1.798;0;7.45799983
FRI-110_63;0;0;0.943;2.498;2.923;0.138;0;0;6.502
FRI-110_64;0;0.096;0.413;3.478;0.513;1.283;1.069;0;6.852
FRI-110_65;0;0.452;4.5559998;5.853;0.51699996;0.45099998;0;0;11.82899974
FRI-110_66;0;0.756;9.168;47.781;21.933;25.577;10.442;0;115.657
FRI-110_69;0;0.241;1.013;21.144;4.018;7.8519998;3.127;0;37.3949998
FRI-110_73;0;0.072;0.804;3.437;2.183;2.4029999;0.427;0;9.3259999
FRI-110_76;0;0.997;13.425;27.874;7.98;8.453;2.656;0;61.385
FRI-110_77;0;0.376;3.567;15.554;8.607;4.761;0.747;0;33.612
FRI-110_85;0;0.629;5.4900002;28.359;3.397;4.089;7.7799997;0;49.7439999
FRI-110_87;0;0.003;0.133;2.707;2.042;2.795;1.585;0;9.265
FRI-110_90;0;0;0.448;2.068;0.694;0.473;0.301;0;3.984
FRI-110_96;0;0.013;1.274;3.157;0.619;1.072;1.786;0;7.921
FRI-110_97;0;2.182;8.321;30.389;26.053;9.198;4.603;0;80.746
FRI-110_98;0;0.031;0;0;0;0.048;0.31300002;0;0.39200002
FRI-12_103;0;1.46;1.102;0.73;0.189;0;0;0;3.481
FRI-12_105;0;0.26999998;0.186;0.41;0.068;0.491;0;0;1.42499998
FRI-12_107;0;0;1.0780001;0.58599997;1.969;0.138;0;0;3.77100007
FRI-12_109;0;0.465;42.769;42.348;14.396;5.498;1.067;0;106.543
FRI-12_11;0;1.249;2.328;1.497;1.545;0.269;0;0;6.888
FRI-12_15;0;0.049000002;0.008;0.040000003;0.137;0.133;0;0;0.367000005
FRI-12_17;0;1.573;3.769;1.18;0.281;0.213;0;0;7.016
FRI-12_20;0;4.628;36.174;13.778;14.514;7.505;1.148;0;77.747
FRI-12_25;0;0.133;0.599;1.373;0.395;0.341;0.094;0;2.935
FRI-12_35;0;4.772;56.582;18.888;14.682;6.144;2.375;0;103.443
FRI-12_39;0;0.778;1.888;0.82600003;0.087;0;0;0;3.57900003
FRI-12_4;0;7.111;32.8;21.764;12.856;3.553;1.052;0;79.136
FRI-12_41;0;0;0;0.037;0;0;0;0;0.037
FRI-12_42;0;0.75200003;19.2;25.486;16.569;7.548;2.413;0;71.96800003
FRI-12_44;0;0.481;5.311;1.018;0.836;0.26;0;0;7.906
FRI-12_45;0;0.128;3.053;1.27;0.472;0.558;0.121;0;5.602
FRI-12_48;0;0.005;0;0;0.5;0.117;0;0;0.622
FRI-12_56;0;0.128;0.293;0.068;0.054;0.023000002;0;0;0.566000002
FRI-12_59;0;1.742;4.655;1.795;1.436;0.506;0.155;0;10.289
FRI-12_60;0;237.719;925.58;294.011;136.829;41.737;15.315;0;1651.191
FRI-12_65;0;0.967;1.527;0.261;0.012;0.002;0;0;2.769
FRI-12_7;0;0.502;2.83;2.514;0.374;1.183;0.303;0;7.706
FRI-12_71;0;0.077;0.21700001;0.117000006;0.11;0;0;0;0.521000016
FRI-12_78;0;0;0.168;0.624;0.186;0.111;0.065;0;1.154
FRI-12_79;0;3.208;18.348999;15.164;9.627;5.222;0.753;0;52.322999
FRI-12_81;0;0;1.89;0.79;0.795;0.34600002;0;0;3.82100002
FRI-12_95;0;117.102;626.329;351.562;209.194;59.084;12.867;0;1376.138
FRI-12_97;0;0;0;0.049;0;0;0;0;0.049
FRI-13_104;0;1.481;4.887;3.7910001;1.653;1.202;0.019000001;0;13.0330001
FRI-13_11;0;0.46499997;0.511;1.507;0.429;0.639;0.078;0;3.62899997
FRI-13_15;0;0;0;0;0;0.003;0;0;0.003
FRI-13_17;0;0.013;0.104;0.024;0;0.01;0;0;0.151
FRI-13_2;0;1.9419999;8.183;4.338;3.225;0.852;0.061;0;18.6009999
FRI-13_27;0;0.343;8.088;9.139;8.576;5.279;1.109;0;32.534
FRI-13_29;0;0.068;2.9129999;0;1.803;0.285;0;0;5.0689999
FRI-13_35;0;0.59099996;2.71;0.981;0.999;0.378;0.037;0;5.69599996
FRI-13_39;0;0.013;0.062;0.151;0.027;0;0;0;0.253
FRI-13_4;0;0.5;0.056;0.691;0.073;0.077;0.081;0;1.478
FRI-13_5;0;0.003;0.004;0;0;0;0;0;0.007
FRI-13_59;0;0.724;2.141;2.453;0.121;0.21100001;0.001;0;5.65100001
FRI-13_60;0;4.225;28.446999;17.412;31.617;10.24;0.65000004;0;92.59099904
FRI-13_65;0;0;0;0.46199998;0;0;0;0;0.46199998
FRI-13_7;0;0.041;0.074;0.11;0.155;0.015000001;0.01;0;0.405000001
FRI-13_70;0;0.77900004;0.579;2.829;0.115;0.09;0;0;4.39200004
FRI-13_75;0;18.173;29.433;15.742;16.395;6.908;2.76;0;89.411
FRI-13_81;0;2.559;5.065;4.267;1.772;0.396;0.188;0;14.247
FRI-13_82;0;2.987;22.173;10.744;8.019;3.724;0.124000005;0;47.77100001
FRI-13_83;0;0.898;1.02;2.29;1.212;0.385;0.113;0;5.918
FRI-13_89;0;40.276;47.205;79.507;51.22;18.007;3.191;0;239.406
