Mode,Segment,Distress
dlr,"(0, 40)",3.486616964245069
dlr,"(40, 35)",6.289097064525123
dlr,"(35, 8)",6.219234046801212
dlr,"(8, 32)",6.972212971510798
dlr,"(32, 10)",4.709997029396326
dlr,"(10, 29)",4.202960534491525
dlr,"(29, 31)",6.238331874758301
dlr,"(31, 4)",5.265197935064608
dlr,"(4, 12)",5.25374824282749
dlr,"(12, 17)",4.322830205152371
dlr,"(17, 3)",7.249866543847313
dlr,"(8, 15)",6.849040780000722
dlr,"(15, 5)",2.554561894210759
dlr,"(5, 28)",6.149996267544112
dlr,"(28, 43)",0.0
dlr,"(43, 24)",8.646435988044427
dlr,"(24, 33)",9.7124570139654
dlr,"(33, 2)",19.192284391294596
dlr,"(28, 41)",1.1819396178269788
dlr,"(41, 7)",1.4848503655756506
dlr,"(7, 19)",0.6497339879276612
dlr,"(19, 34)",4.294794210533081
dlr,"(34, 9)",3.8994564433325993
dlr,"(9, 26)",4.59033879329847
dlr,"(26, 20)",3.5347108401887675
dlr,"(20, 11)",5.847095963037818
dlr,"(0, 37)",6.083126465853815
dlr,"(37, 36)",3.1675676025078108
dlr,"(36, 30)",4.050554337553113
dlr,"(30, 6)",3.6299420752119427
dlr,"(6, 14)",3.50711580270348
dlr,"(8, 42)",13.035419338546898
dlr,"(42, 27)",5.740191838603908
dlr,"(27, 25)",9.620545988583201
dlr,"(25, 21)",8.76857215550412
dlr,"(14, 22)",4.340409685097152
dlr,"(11, 18)",3.4559897003299107
dlr,"(18, 13)",6.459327262527608
dlr,"(13, 16)",5.961074599484837
dlr,"(16, 23)",4.588818932274018
dlr,"(36, 38)",3.885312720716849
dlr,"(21, 44)",11.0877399005562
dlr,"(1, 28)",2.7814595469446357
dlr,"(28, 5)",6.09003887722118
dlr,"(5, 15)",2.5268572264695206
dlr,"(15, 8)",6.773514450565616
dlr,"(1, 22)",2.7918856185150176
dlr,"(22, 14)",4.169898119217227
dlr,"(14, 6)",3.461295620006009
dlr,"(6, 30)",3.979897104145126
dlr,"(30, 36)",4.1558062711109285
dlr,"(33, 39)",9.674395912204497
dlr,"(8, 35)",6.132024975033597
dlr,"(35, 40)",6.178785265630423
dlr,"(3, 17)",7.249866543847316
dlr,"(17, 12)",4.32283020515237
dlr,"(12, 4)",5.253748242827493
dlr,"(4, 31)",5.265197935064606
dlr,"(31, 29)",6.238331874758301
dlr,"(29, 10)",4.202960534491519
dlr,"(10, 32)",4.709997029396329
dlr,"(32, 8)",6.97221297151081
dlr,"(40, 0)",3.4249383448995103
dlr,"(28, 1)",2.7681213601966626
dlr,"(2, 33)",19.192284391294606
dlr,"(33, 24)",9.7124570139654
dlr,"(24, 43)",8.646435988044429
dlr,"(43, 28)",1.0000000000000004
dlr,"(43, 41)",0.9999999999999996
dlr,"(22, 1)",2.8009951488698324
dlr,"(7, 41)",1.484850365575648
dlr,"(41, 28)",0.9999999999999997
dlr,"(41, 43)",1.9999999999999996
dlr,"(9, 34)",3.8994564433325993
dlr,"(34, 19)",4.294794210533078
dlr,"(19, 7)",0.6497339879276606
dlr,"(11, 20)",5.847095963037818
dlr,"(20, 26)",3.5347108401887715
dlr,"(26, 9)",4.590338793298475
dlr,"(36, 37)",3.230779228397731
dlr,"(13, 18)",6.459327262527608
dlr,"(18, 11)",3.455989700329909
dlr,"(37, 0)",6.207969634755583
dlr,"(16, 13)",5.961074599484839
dlr,"(21, 25)",7.768572155504116
dlr,"(25, 27)",9.620545988583201
dlr,"(27, 42)",5.740191838603909
dlr,"(42, 8)",14.035419338546907
dlr,"(23, 16)",4.588818932274019
dlr,"(38, 36)",3.8853127207168505
dlr,"(39, 33)",10.674395912204494
dlr,"(44, 21)",11.087739900556203
