Mode,Segment,Distress
tube,"(172, 179)",0.21118037793174216
tube,"(179, 66)",0.2271621234220352
tube,"(16, 170)",0.17845721499484896
tube,"(170, 69)",0.1395529046624619
tube,"(127, 75)",0.1067644343727669
tube,"(64, 79)",0.4965084774111794
tube,"(231, 92)",0.3010903804000408
tube,"(134, 226)",0.08110777574375125
tube,"(226, 87)",0.06664952015832526
tube,"(154, 97)",0.48649684462214016
tube,"(97, 173)",0.47647360346465684
tube,"(173, 91)",0.36293955113603227
tube,"(170, 190)",0.1966335661258467
tube,"(190, 256)",0.20659951659601314
tube,"(256, 130)",0.202258983935747
tube,"(130, 133)",0.18536481744928548
tube,"(133, 265)",0.1729244323956669
tube,"(265, 197)",0.1420841220399527
tube,"(197, 86)",0.10645540424557084
tube,"(9, 89)",0.11482600233059288
tube,"(67, 192)",0.25564309896122145
tube,"(192, 193)",0.17661931799796615
tube,"(193, 118)",0.37604005369422866
tube,"(118, 109)",0.2604859093362385
tube,"(25, 167)",0.5017193953570679
tube,"(167, 115)",0.21186375703474106
tube,"(115, 114)",0.18955109192436786
tube,"(114, 116)",0.30561514476746465
tube,"(116, 101)",0.5169108222148924
tube,"(90, 117)",0.18992347091266493
tube,"(164, 111)",0.1756396317310479
tube,"(101, 103)",0.401153805271615
tube,"(103, 102)",0.5391729577266127
tube,"(117, 129)",0.16505557181905578
tube,"(244, 119)",0.10914457986369193
tube,"(92, 124)",0.38089334897997296
tube,"(164, 182)",0.11087316408273318
tube,"(182, 132)",0.11564165237995237
tube,"(132, 143)",0.1255207251574819
tube,"(53, 205)",0.22727993431807614
tube,"(205, 150)",0.3201474026786682
tube,"(12, 149)",0.1152922971799729
tube,"(79, 146)",0.3166171500408269
tube,"(76, 151)",0.10475150335668139
tube,"(170, 68)",0.08385668696519082
tube,"(68, 144)",0.0865657236910631
tube,"(91, 160)",0.3643785685903447
tube,"(5, 166)",0.08007047066843533
tube,"(216, 168)",0.12226429064477234
tube,"(169, 186)",0.08689580533463906
tube,"(124, 187)",0.36484750116701137
tube,"(110, 194)",0.07845385648508602
tube,"(111, 196)",0.21843647432125912
tube,"(66, 207)",0.34471379670369445
tube,"(145, 215)",0.16384535823149782
tube,"(42, 212)",0.11424276955153397
tube,"(160, 204)",0.4867399243674362
tube,"(136, 199)",0.34499484395667884
tube,"(199, 206)",0.2801400833197844
tube,"(79, 250)",0.22199194457577046
tube,"(250, 267)",0.23972141420788465
tube,"(267, 228)",0.31790980656601914
tube,"(38, 147)",0.10977794439693801
tube,"(147, 229)",0.14159949905811559
tube,"(56, 72)",0.4912311479602665
tube,"(72, 113)",0.33821198775749073
tube,"(113, 233)",0.28827129133020774
tube,"(233, 234)",0.22340097459369876
tube,"(109, 237)",0.4092804167823373
tube,"(55, 245)",0.41677129652869704
tube,"(196, 258)",0.1774949952258898
tube,"(207, 262)",0.2761599150943857
tube,"(262, 263)",0.31639966530285063
tube,"(15, 254)",0.13653241427724144
tube,"(206, 266)",0.3500081556413745
tube,"(1, 259)",0.13643973779182017
tube,"(22, 240)",0.3537241395649058
tube,"(6, 230)",0.24302557798944197
tube,"(230, 122)",0.19180987588700069
tube,"(122, 34)",0.25086931704769316
tube,"(34, 151)",0.08313341793477254
tube,"(151, 76)",0.08446216256396948
tube,"(76, 242)",0.09456675410762079
tube,"(242, 169)",0.08674640367258352
tube,"(169, 90)",0.08172313875549123
tube,"(90, 239)",0.11315529441194234
tube,"(239, 198)",0.13942200378039632
tube,"(198, 202)",0.13430431369845122
tube,"(202, 84)",0.11770901469056815
tube,"(84, 62)",0.11931919112490322
tube,"(62, 15)",0.08936168349140182
tube,"(15, 94)",0.17208717614442523
tube,"(94, 231)",0.08333874621632104
tube,"(231, 0)",0.10059917468322445
tube,"(149, 137)",0.11017224352648863
tube,"(169, 23)",0.08975569201952001
tube,"(23, 143)",0.13692250263808617
tube,"(143, 132)",0.13952217434304467
tube,"(132, 182)",0.13266622660088426
tube,"(182, 164)",0.1287522831207973
tube,"(258, 63)",0.30243002683622017
tube,"(63, 154)",0.23532833642243603
tube,"(154, 248)",0.18912008700542532
tube,"(248, 60)",0.18483910662172298
tube,"(60, 61)",0.18493095837803436
tube,"(80, 247)",0.10689101790789983
tube,"(247, 178)",0.31664846417083214
tube,"(178, 161)",0.3643062329080187
tube,"(161, 100)",0.27008012822234206
tube,"(169, 226)",0.07312521488888436
tube,"(226, 134)",0.06844615363686134
tube,"(134, 43)",0.06974115503961666
tube,"(30, 251)",0.07627091324312331
tube,"(266, 31)",0.49958363709434844
tube,"(90, 257)",0.09080282983503046
tube,"(127, 194)",0.11353345653032948
tube,"(194, 110)",0.1082403240337432
tube,"(212, 11)",0.109189243619409
tube,"(110, 54)",0.0863144571363231
tube,"(231, 46)",0.1671970173871082
tube,"(31, 139)",0.3567783553879114
tube,"(139, 58)",0.4275240375775945
tube,"(58, 223)",0.6530085404695851
tube,"(223, 74)",0.53677980730983
tube,"(9, 144)",0.07863326877250859
tube,"(144, 68)",0.07171965718645482
tube,"(9, 69)",0.13485490755817198
tube,"(14, 77)",0.11243627225103728
tube,"(242, 87)",0.07463934263729942
tube,"(68, 170)",0.06905911291327914
tube,"(75, 89)",0.10201594596460252
tube,"(228, 105)",0.49735921661479643
tube,"(100, 253)",0.24270243946852466
tube,"(253, 184)",0.2796298238534016
tube,"(77, 93)",0.09249684606167423
tube,"(86, 95)",0.21739420698360637
tube,"(164, 106)",0.1439343138945633
tube,"(170, 243)",0.21249734485254196
tube,"(243, 140)",0.1933641715935856
tube,"(140, 125)",0.19064511673696388
tube,"(125, 180)",0.1699620717020006
tube,"(180, 120)",0.3014701528164011
tube,"(120, 261)",0.27633784616737567
tube,"(261, 98)",0.23458037651270672
tube,"(59, 152)",0.15060853943622726
tube,"(98, 217)",0.3283065762568365
tube,"(217, 246)",0.37107335080554354
tube,"(246, 158)",0.2732800678048856
tube,"(119, 168)",0.10286898171492313
tube,"(169, 174)",0.06150180739251011
tube,"(204, 191)",0.2282032390813204
tube,"(94, 183)",0.15110484084562487
tube,"(183, 213)",0.13374325688138586
tube,"(184, 201)",0.26910668045604086
tube,"(201, 219)",0.26805781641639376
tube,"(2, 229)",0.10013548006742004
tube,"(62, 254)",0.1332312829261658
