,fri,fri,fri,fri,fri,fri,fri,fri,fri,fri,fri,fri,fri,fri,fri,fri,fri,fri,fri,fri,fri,fri,fri,fri,sat,sat,sat,sat,sat,sat,sat,sat,sat,sat,sat,sat,sat,sat,sat,sat,sat,sat,sat,sat,sat,sat,sat,sat,mtt,mtt,mtt,mtt,mtt,mtt,mtt,mtt,mtt,mtt,mtt,mtt,mtt,mtt,mtt,mtt,mtt,mtt,mtt,mtt,mtt,mtt,mtt,mtt,sun,sun,sun,sun,sun,sun,sun,sun,sun,sun,sun,sun,sun,sun,sun,sun,sun,sun,sun,sun,sun,sun,sun,sun
,Morning,Morning,Morning,Morning,AM Peak,AM Peak,AM Peak,AM Peak,Midday,Midday,Midday,Midday,PM Peak,PM Peak,PM Peak,PM Peak,Evening,Evening,Evening,Evening,Late,Late,Late,Late,Morning,Morning,Morning,Morning,AM Peak,AM Peak,AM Peak,AM Peak,Midday,Midday,Midday,Midday,PM Peak,PM Peak,PM Peak,PM Peak,Evening,Evening,Evening,Evening,Late,Late,Late,Late,Morning,Morning,Morning,Morning,AM Peak,AM Peak,AM Peak,AM Peak,Midday,Midday,Midday,Midday,PM Peak,PM Peak,PM Peak,PM Peak,Evening,Evening,Evening,Evening,Late,Late,Late,Late,Morning,Morning,Morning,Morning,AM Peak,AM Peak,AM Peak,AM Peak,Midday,Midday,Midday,Midday,PM Peak,PM Peak,PM Peak,PM Peak,Evening,Evening,Evening,Evening,Late,Late,Late,Late
,alpha,alpha_rnk,distress,distress_rnk,alpha,alpha_rnk,distress,distress_rnk,alpha,alpha_rnk,distress,distress_rnk,alpha,alpha_rnk,distress,distress_rnk,alpha,alpha_rnk,distress,distress_rnk,alpha,alpha_rnk,distress,distress_rnk,alpha,alpha_rnk,distress,distress_rnk,alpha,alpha_rnk,distress,distress_rnk,alpha,alpha_rnk,distress,distress_rnk,alpha,alpha_rnk,distress,distress_rnk,alpha,alpha_rnk,distress,distress_rnk,alpha,alpha_rnk,distress,distress_rnk,alpha,alpha_rnk,distress,distress_rnk,alpha,alpha_rnk,distress,distress_rnk,alpha,alpha_rnk,distress,distress_rnk,alpha,alpha_rnk,distress,distress_rnk,alpha,alpha_rnk,distress,distress_rnk,alpha,alpha_rnk,distress,distress_rnk,alpha,alpha_rnk,distress,distress_rnk,alpha,alpha_rnk,distress,distress_rnk,alpha,alpha_rnk,distress,distress_rnk,alpha,alpha_rnk,distress,distress_rnk,alpha,alpha_rnk,distress,distress_rnk,alpha,alpha_rnk,distress,distress_rnk
"(40, 35)",0.02189866689256892,12,0.33003526512968057,24,0.021202466008953147,12,0.32703502973726895,24,0.021275642069795375,12,0.3268040446658634,25,0.024091665755973102,12,0.3254966908031745,24,0.023118098097965056,12,0.32748345842369847,24,0.9997000299990002,25,0.0,9,0.024527294061557736,13,0.3299714838200723,24,0.024921779199903016,13,0.3254999786105675,24,0.02582073420736275,13,0.32494323514327894,26,0.025450156308029825,13,0.3218456515580066,26,0.021509969795801775,12,0.32706538609759195,24,0.9997000299990002,28,0.0,12,0.021986739424445734,12,0.329922683031279,24,0.020707347820404065,12,0.3260849029398244,24,0.02165513545719533,12,0.32637651179773225,25,0.024487355800132393,13,0.32526363445576467,24,0.01972875164249399,12,0.3284476432839094,24,0.9997000299990002,25,0.0,9,0.021473604970955407,12,0.33244654975477156,24,0.02439792279269115,12,0.3252127056766314,24,0.024220301220832408,12,0.32134638281915984,26,0.019810299131951536,12,0.3260836664311739,24,0.017305044543824755,12,0.32953809842225695,24,0.9997000299990002,25,0.0,9
"(40, 0)",0.3736010488022603,85,0.12820261332928362,79,0.37828408640424227,85,0.12515562549346526,79,0.3777852399765169,85,0.1252660316132733,79,0.3597035139562521,84,0.13218655791220307,78,0.3657212784741364,85,0.13045377744836206,79,0.9997000299990002,26,0.0,10,0.3570842570958145,83,0.13513547975052823,76,0.3547498210573159,83,0.13430842326625814,78,0.34955760973134764,83,0.13634025713509798,78,0.3516770017972912,83,0.13412090473416763,78,0.3761983925143525,85,0.12600144898767898,79,0.9997000299990002,29,0.0,13,0.37301846255176363,85,0.12839723635008432,79,0.3817016106525143,85,0.1234423519098543,79,0.3752233311102142,85,0.1261273448043521,79,0.357322563469632,83,0.1331054977953223,78,0.3886829093479487,85,0.12160950954795119,79,0.9997000299990002,26,0.0,10,0.37644360288085765,85,0.12797452004845056,77,0.35785752547701244,84,0.13285617274058328,78,0.3589254871816435,84,0.13082733544074576,79,0.3880891791490241,85,0.1209619776625613,79,0.40743428265223236,85,0.11497692306401329,79,0.9997000299990002,26,0.0,10
"(35, 8)",1.000088900582341e-12,1,0.32537871123912215,25,1.000088900582341e-12,1,0.3248185594508474,27,1.000088900582341e-12,1,0.3247486859608504,28,1.000088900582341e-12,1,0.32287798698673503,27,1.000088900582341e-12,1,0.3240985990576045,28,0.9997000299990002,27,0.0,11,1.000088900582341e-12,1,0.3272199069395526,25,1.000088900582341e-12,1,0.3225219690141981,28,1.000088900582341e-12,1,0.31892667729416374,28,1.000088900582341e-12,1,0.3179193675799735,28,1.000088900582341e-12,1,0.3222441872113887,28,0.9997000299990002,30,0.0,14,1.000088900582341e-12,1,0.32491834279549975,27,1.000088900582341e-12,1,0.3240268630551192,27,1.000088900582341e-12,1,0.3245457611062253,28,1.000088900582341e-12,1,0.322931693513052,27,1.000088900582341e-12,1,0.3257588035348585,25,0.9997000299990002,27,0.0,11,1.000088900582341e-12,1,0.3300998826813523,25,1.000088900582341e-12,1,0.3227603438152163,27,1.000088900582341e-12,1,0.3175802523366069,28,1.000088900582341e-12,1,0.322986666484184,27,1.000088900582341e-12,1,0.3258843216120546,26,0.9997000299990002,27,0.0,11
"(35, 40)",0.9997000299990002,91,0.0,91,0.9997000299990002,91,0.0,91,0.9997000299990002,91,0.0,91,0.9997000299990002,91,0.0,91,0.9997000299990002,91,0.0,91,0.9997000299990002,28,0.0,12,0.9997000299990002,91,0.0,91,0.9997000299990002,91,0.0,91,0.9997000299990002,91,0.0,91,0.9997000299990002,91,0.0,91,0.9997000299990002,91,0.0,91,0.9997000299990002,31,0.0,15,0.9997000299990002,91,0.0,91,0.9997000299990002,91,0.0,91,0.9997000299990002,91,0.0,91,0.9997000299990002,91,0.0,91,0.9997000299990002,91,0.0,91,0.9997000299990002,28,0.0,12,0.9997000299990002,91,0.0,91,0.9997000299990002,91,0.0,91,0.9997000299990002,91,0.0,91,0.9997000299990002,91,0.0,91,0.9997000299990002,91,0.0,91,0.9997000299990002,28,0.0,12
"(8, 42)",0.018932398314044696,11,0.6792010306214307,4,0.017077835676230002,11,0.6792010306214308,4,0.01845828495073709,11,0.6792010306214304,4,0.017516772770612254,11,0.6792010306214309,4,0.01773948443922757,11,0.6792010306214303,4,0.9993002099650037,1,0.0,13,0.017004810175805907,11,0.6792010306214307,4,0.016828414447235485,11,0.6792010306214303,4,0.01714194714368844,11,0.6792010306214318,4,0.01673782303218596,11,0.6792010306214308,4,0.016422529337273728,11,0.6792010306214303,4,0.9993002099650037,4,0.0,16,0.01893081100833216,11,0.6792010306214312,4,0.017052573338877886,11,0.6792010306214317,4,0.01882704232851573,11,0.679201030621431,4,0.01754045891762135,11,0.6792010306214306,4,0.016700454278915977,11,0.6792010306214303,4,0.9993002099650037,1,0.0,13,0.016614939980324595,11,0.6792010306214312,4,0.01644485080595226,11,0.6792010306214312,4,0.017565848335472256,11,0.6792010306214307,4,0.01743184271648024,11,0.6792010306214308,4,0.016893908975486482,11,0.679201030621431,4,0.9993002099650037,1,0.0,13
"(8, 15)",0.23284530071451426,68,0.2950922596449832,36,0.254803270192946,75,0.27333157383160733,43,0.255245879470247,75,0.2769388383716051,39,0.2659295478849093,75,0.266799828385147,43,0.24207465964868624,71,0.2845389901491946,39,0.9993002099650037,2,0.0,14,0.26617067580551024,76,0.26520015891796,40,0.2669433598325296,76,0.2641744727698993,42,0.2632593916675523,75,0.26758941096758165,43,0.2565972603879154,75,0.27107473272985894,43,0.2386975219935047,71,0.2830954082340007,38,0.9993002099650037,5,0.0,17,0.23493520991771188,69,0.29345915399752837,36,0.25879264501026666,75,0.27044367249098294,43,0.2546464133233597,75,0.2783953235220925,39,0.2668558193040669,76,0.26622916863065366,44,0.2510734849396852,75,0.27488716572383315,40,0.9993002099650037,2,0.0,14,0.24604522821552766,74,0.27826481428463196,36,0.26626490617214416,76,0.2635431582526278,42,0.24909689144346014,75,0.2788512353616556,38,0.2537478202882496,76,0.2751067619457076,37,0.2277123134195066,68,0.29294341287520764,40,0.9993002099650037,2,0.0,14
"(8, 32)",0.1584749563739326,56,0.3632820788479628,19,0.15218125053319187,55,0.36328207884796254,19,0.15689767307224434,56,0.36328207884796254,20,0.15370176155575188,55,0.36328207884796254,20,0.1544656603097394,54,0.36328207884796243,19,0.9993002099650037,3,0.0,15,0.15192631539179735,55,0.3632820788479626,19,0.15130814336373755,55,0.3632820788479626,20,0.1524045979635522,55,0.36328207884796315,19,0.15098935417598214,55,0.3632820788479624,20,0.14987275598520078,54,0.3632820788479623,20,0.9993002099650037,6,0.0,18,0.15846971012945754,57,0.36328207884796265,19,0.15209312309969825,55,0.36328207884796304,19,0.15812624517068663,57,0.3632820788479627,19,0.15378324427676537,55,0.3632820788479626,20,0.15085759188652803,55,0.3632820788479627,20,0.9993002099650037,3,0.0,15,0.15055548762546334,55,0.3632820788479628,19,0.14995217300381514,54,0.36328207884796265,19,0.15387052279497315,55,0.3632820788479629,19,0.15340912070232493,54,0.36328207884796265,20,0.15153805941402632,55,0.3632820788479628,19,0.9993002099650037,3,0.0,15
"(8, 35)",0.3257398661422559,81,0.2324552865182806,52,0.3317014276948549,80,0.22467712770229045,55,0.30599543078949476,80,0.24319668333083203,47,0.3101595031004273,80,0.23833662005063694,53,0.33532635039387393,80,0.2241803667194064,57,0.9993002099650037,4,0.0,16,0.31934531591279103,80,0.2316139635884179,50,0.3218104778201597,80,0.22974357043081584,54,0.3201745089042515,80,0.2314659683584537,53,0.33617703698336765,81,0.22135011665490453,59,0.3669739119162504,84,0.2041009239014858,62,0.9993002099650037,7,0.0,19,0.3230015876037752,80,0.23406372778950119,52,0.3272524162248953,80,0.22715206468572902,53,0.30050988467040773,80,0.2475129755710878,45,0.30868054657025157,80,0.2392893937716632,47,0.3440338331900583,81,0.21692057459856834,60,0.9993002099650037,4,0.0,16,0.3525252581938788,82,0.21212814935305246,57,0.33015780218871693,80,0.22402496821785614,56,0.3295227207268838,80,0.22707663721012689,53,0.32621879231970285,80,0.22865746826557073,54,0.37297285238578226,83,0.20205167417837855,65,0.9993002099650037,4,0.0,16
"(42, 27)",0.3575085514765166,83,0.29908851502886186,35,0.3575085514765166,83,0.29908851502886175,35,0.3575085514765166,83,0.29908851502886186,37,0.3575085514765166,83,0.2990885150288619,35,0.3575085514765164,83,0.29908851502886197,37,0.9997000299990002,29,0.0,17,0.3575085514765166,84,0.29908851502886186,34,0.3575085514765164,84,0.29908851502886186,34,0.35750855147651706,84,0.2990885150288621,35,0.3575085514765164,84,0.2990885150288621,35,0.3575085514765166,82,0.2990885150288618,34,0.9997000299990002,32,0.0,20,0.3575085514765166,83,0.29908851502886197,35,0.3575085514765166,83,0.2990885150288619,35,0.35750855147651706,82,0.29908851502886163,38,0.3575085514765166,84,0.2990885150288618,38,0.3575085514765166,83,0.29908851502886186,37,0.9997000299990002,29,0.0,17,0.3575085514765166,83,0.2990885150288621,34,0.3575085514765166,83,0.2990885150288619,34,0.3575085514765166,83,0.2990885150288619,34,0.35750855147651706,83,0.2990885150288618,34,0.3575085514765166,81,0.29908851502886197,38,0.9997000299990002,29,0.0,17
"(42, 8)",0.024456228141159664,13,0.7313053022970625,3,0.024456228141159664,13,0.7313053022970623,3,0.024456228141159664,13,0.7313053022970624,3,0.024456228141159664,13,0.7313053022970625,3,0.024456228141159775,13,0.7313053022970621,3,0.9997000299990002,30,0.0,18,0.024456228141159664,12,0.7313053022970625,3,0.024456228141159775,12,0.7313053022970618,3,0.024456228141159664,12,0.7313053022970636,3,0.024456228141159664,12,0.7313053022970626,3,0.024456228141159664,13,0.7313053022970624,3,1.000088900582341e-12,1,1.0,1,0.024456228141159664,13,0.7313053022970625,3,0.024456228141159664,13,0.7313053022970628,3,0.024456228141159664,14,0.7313053022970625,3,0.024456228141159664,12,0.7313053022970625,3,0.024456228141159664,13,0.7313053022970627,3,0.9997000299990002,30,0.0,18,0.024456228141159664,13,0.7313053022970629,3,0.024456228141159664,13,0.7313053022970627,3,0.024456228141159664,13,0.7313053022970624,3,0.024456228141159664,13,0.7313053022970629,3,0.024456228141159664,14,0.7313053022970625,3,0.9997000299990002,30,0.0,18
