mode_mnlc_o,mode_mnlc_d,1,2,3,4,5,6,7,8,mode
522,1448,0.0,1.4219999,4.828,1.3280001,3.095,0.421,0.046,0.0,LO
522,1449,0.0,0.0,0.004,0.0,0.004,0.0,0.001,0.0,LO
522,1452,0.0,0.484,1.823,3.375,0.822,0.486,0.35500002,0.0,LO
522,1524,0.0,1.507,34.353,67.494,26.891,24.044,15.512,0.0,LO
522,7401,0.0,0.382,15.346,47.333,22.663,12.253,5.012,0.0,LO
522,7402,0.0,0.466,24.117,140.215,97.775,57.199,20.37,0.0,LO
522,7403,0.0,0.489,21.285,91.62,64.712,38.529,11.63,0.0,LO
522,7404,0.0,0.012,3.0609999,12.287,5.36,4.227,1.642,0.0,LO
522,7406,0.0,0.07,8.114,28.711,13.206,6.573,12.499,0.0,LO
522,7407,0.0,2.325,7.274,23.374,13.74,7.6349998,4.418,0.0,LO
522,7408,0.0,2.135,30.044,129.34,90.909,45.952,20.483,0.0,LO
522,7467,0.0,1.015,21.165,82.121,58.488,31.381,12.7,0.0,LO
591,514,0.0,0.026999999,0.078,0.319,0.013,0.08,0.008,0.0,LO
591,522,0.0,0.0,0.207,0.526,0.30900002,0.295,0.05,0.0,LO
591,596,0.0,0.0,0.105000004,0.426,0.265,0.087,0.0,0.0,LO
591,597,0.0,0.0,0.193,1.823,0.392,0.078,0.156,0.0,LO
591,603,0.0,0.98399997,4.181,14.502,11.588,4.62,1.839,0.0,LO
591,617,0.0,0.0,0.003,0.22,0.154,0.032,0.001,0.0,LO
591,620,0.0,0.0,0.07300001,0.589,0.321,0.146,0.102,0.0,LO
591,621,0.0,0.043,2.113,23.129,7.686,4.989,0.931,0.0,LO
591,659,0.0,0.0,0.041,0.285,0.061,0.067999996,0.059,0.0,LO
591,680,0.0,0.018000001,0.038,0.89100003,0.408,0.122,0.256,0.0,LO
591,686,0.0,1.173,33.359,165.035,65.895,28.324999,6.377,0.0,LO
591,709,0.0,0.0,0.13700001,0.673,0.341,0.137,0.078,0.0,LO
591,717,0.0,0.0,0.015000001,0.773,0.476,0.08,0.0,0.0,LO
591,719,0.0,0.512,3.424,16.295,6.111,3.942,1.115,0.0,LO
591,751,0.0,0.0,0.81200004,3.338,1.627,0.36,0.102,0.0,LO
591,766,0.0,4.07,25.239,79.154,50.933,22.291,8.413,0.0,LO
591,1022,0.0,0.0,0.0,0.284,0.496,0.384,0.188,0.0,LO
591,1023,0.0,0.0,0.222,0.491,0.367,0.2,0.0,0.0,LO
591,1024,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,LO
591,1395,0.0,0.0,0.241,0.342,0.526,0.589,0.012,0.0,LO
591,1398,0.0,0.004,0.242,0.783,0.015000001,0.491,0.004,0.0,LO
591,1402,0.0,0.38099998,2.306,9.32,1.77,0.891,0.298,0.0,LO
591,1404,0.0,0.022000002,5.989,37.252,29.643,16.238,4.957,0.0,LO
591,1409,0.0,0.475,3.95,12.224,6.73,4.568,0.718,0.0,LO
591,1413,0.0,1.16,12.622,32.497,9.2439995,5.984,0.739,0.0,LO
591,1415,0.0,0.002,0.323,0.563,0.614,0.326,0.008,0.0,LO
591,1421,0.0,0.974,2.984,14.741,8.692,4.994,2.249,0.0,LO
591,1429,0.0,1.117,5.811,17.948,13.186,9.234,3.049,0.0,LO
591,1434,0.0,0.015999999,0.577,2.007,0.635,0.411,0.002,0.0,LO
591,1437,0.0,5.46,18.939,55.683,36.489,17.42,4.404,0.0,LO
591,1438,0.0,0.657,8.121,10.077,8.03,5.02,1.406,0.0,LO
591,1439,0.0,0.644,2.56,6.649,2.026,1.035,0.299,0.0,LO
591,1440,0.0,6.393,10.849,36.46,15.134,6.514,1.134,0.0,LO
591,1441,0.0,0.646,1.505,5.682,4.524,2.798,0.305,0.0,LO
591,1442,0.0,0.338,1.315,1.868,1.488,0.805,0.115,0.0,LO
591,1443,0.0,0.074,0.063,0.221,0.262,0.183,0.174,0.0,LO
591,1444,0.0,1.313,2.14,6.62,2.812,0.57100004,0.003,0.0,LO
591,1445,0.0,1.511,17.125,23.228,10.929,7.983,2.474,0.0,LO
591,1448,0.0,0.566,39.684,21.556,40.107,13.69,2.777,0.0,LO
591,1449,0.0,1.629,5.048,14.799,6.291,3.145,0.414,0.0,LO
591,1451,0.0,0.265,1.48,1.269,0.652,0.266,0.0,0.0,LO
591,1452,0.0,0.27400002,5.776,38.449,12.313,9.356,3.388,0.0,LO
591,1455,0.0,0.329,1.06,4.105,1.724,0.836,0.169,0.0,LO
591,1524,0.0,0.255,5.277,19.087,5.33,2.686,0.315,0.0,LO
591,5345,0.0,0.0,0.0,0.0,0.028,0.0,0.0,0.0,LO
591,6941,0.0,0.0,0.0,0.0,0.047,0.0,0.067,0.0,LO
