mode_mnlc_o,mode_mnlc_d,2,3,4,5,6,7,8,mode
523,719,19.447,70.473,161.859,58.057,29.259,16.613,0.0,DLR
523,749,1.602,3.889,9.13,2.767,4.553,0.58,0.0,DLR
523,750,1.194,4.081,3.095,3.267,1.5780001,0.652,0.0,DLR
523,757,6.76,19.049,42.745,15.214,7.389,5.481,0.0,DLR
523,842,0.808,1.944,17.92,7.8,0.0,3.005,0.0,DLR
523,850,0.0,1.99,2.404,0.829,0.0,0.313,0.0,DLR
523,851,0.0,1.655,1.916,1.7,0.282,0.0,0.0,DLR
523,854,0.0,0.541,1.934,0.0,0.0,0.0,0.0,DLR
523,856,0.36,0.0,0.678,0.748,0.197,0.0,0.0,DLR
523,858,7.937,2.07,12.305,4.071,1.885,0.0,0.0,DLR
523,860,0.715,4.787,12.409,4.262,2.97,1.094,0.0,DLR
523,861,0.186,0.99,2.8270001,0.845,0.68,0.0,0.0,DLR
523,862,11.863,8.526,5.481,3.555,4.081,2.3140001,0.0,DLR
523,864,0.21599999,2.637,4.883,2.326,0.0,0.0,0.0,DLR
523,865,4.071,4.878,6.711,1.923,1.208,0.0,0.0,DLR
523,866,0.257,0.277,1.574,2.298,0.0,1.295,0.0,DLR
523,867,0.0,1.09,0.917,0.491,0.45700002,0.427,0.0,DLR
523,879,0.426,1.931,3.449,1.084,0.318,0.0,0.0,DLR
523,882,2.218,2.241,2.6890001,1.766,1.484,0.0,0.0,DLR
523,883,0.198,2.224,3.243,0.435,0.408,1.012,0.0,DLR
523,884,63.519,132.241,266.455,105.516,64.253,18.339,0.0,DLR
523,886,0.0,0.833,4.737,2.412,0.776,0.35,0.0,DLR
523,887,0.156,0.228,0.41799998,0.916,0.0,0.0,0.0,DLR
523,888,0.0,0.264,0.701,1.211,0.0,0.0,0.0,DLR
523,889,0.821,2.984,1.973,3.944,1.928,0.0,0.0,DLR
523,897,0.0,0.41,0.99300003,0.878,0.0,0.827,0.0,DLR
523,928,0.0,0.0,0.0,0.0,0.0,0.024,0.0,DLR
523,940,0.0,0.0,3.446,0.585,0.968,0.0,0.0,DLR
533,504,0.713,23.914,37.669,5.548,2.779,0.659,0.0,DLR
533,513,10.824,126.795,180.419,13.759,8.068,4.594,0.0,DLR
533,523,0.0,4.413,3.504,2.135,2.208,0.0,0.0,DLR
533,538,0.135,9.308,12.925,2.69,1.698,0.39000002,0.0,DLR
533,559,0.475,8.773,12.517,1.814,1.092,1.02,0.0,DLR
533,573,23.074,126.267,200.67,39.599,25.47,11.285,0.0,DLR
533,719,8.306,114.538,172.663,25.802,17.664,6.224,0.0,DLR
533,749,0.547,7.146,10.669,2.964,1.923,1.049,0.0,DLR
533,750,0.0,2.874,3.98,1.471,0.0,0.0,0.0,DLR
533,757,2.129,47.75,70.791,11.238,6.303,2.429,0.0,DLR
533,842,0.481,17.101,19.076,3.899,0.0,3.4120002,0.0,DLR
533,850,0.0,0.0,2.763,0.0,0.682,0.0,0.0,DLR
533,851,0.447,4.307,5.888,1.369,0.01,0.0,0.0,DLR
533,853,0.0,1.317,12.079,0.301,0.414,0.0,0.0,DLR
533,854,0.0,2.7810001,2.863,0.0,0.0,0.296,0.0,DLR
533,857,0.0,0.193,4.435,0.0,0.229,0.0,0.0,DLR
533,858,2.4819999,17.369,22.429,0.92,2.034,0.0,0.0,DLR
533,859,0.0,0.421,0.213,0.324,0.009,0.0,0.0,DLR
533,860,2.168,32.714,34.658,3.375,1.637,1.066,0.0,DLR
533,861,0.189,4.748,5.08,1.156,0.0,0.0,0.0,DLR
533,862,1.152,14.613,16.524,2.108,0.948,0.0,0.0,DLR
533,864,0.927,33.19,23.928999,2.4,0.0,0.0,0.0,DLR
533,865,0.0,12.416,12.745,1.395,1.353,1.123,0.0,DLR
533,866,0.0,2.5740001,4.099,0.0,0.68700004,0.0,0.0,DLR
533,867,0.23300001,3.033,2.363,0.0,0.0,0.0,0.0,DLR
533,879,0.0,3.016,5.347,0.266,0.6,0.0,0.0,DLR
533,882,0.676,6.052,6.508,0.0,0.545,1.053,0.0,DLR
533,883,0.317,4.535,5.192,0.854,1.086,1.234,0.0,DLR
533,884,24.882,316.801,432.711,61.236,40.124,10.048,0.0,DLR
533,886,0.0,5.991,9.525,1.929,1.482,0.45,0.0,DLR
533,887,0.0,0.746,1.448,1.481,0.314,0.0,0.0,DLR
533,888,0.0,0.313,1.649,0.057,0.29,0.0,0.0,DLR
533,889,0.852,1.232,4.836,1.529,0.801,0.048,0.0,DLR
533,890,0.0,2.36,2.233,0.567,0.055,0.0,0.0,DLR
533,895,0.384,0.286,1.833,0.0,0.494,0.0,0.0,DLR
533,897,0.0,2.321,3.0970001,0.332,0.517,0.0,0.0,DLR
533,928,0.003,1.225,1.64,0.055,0.066,0.0,0.0,DLR
533,940,0.0,4.266,12.824,0.87299997,2.025,0.0,0.0,DLR
538,504,2.648,21.718,71.361,15.534,7.468,4.764,0.0,DLR
538,513,10.492,66.543,233.498,80.516,30.523,21.25,0.0,DLR
538,523,0.0,1.043,6.523,2.422,2.262,0.939,0.0,DLR
538,533,3.145,10.372,14.224,1.822,0.997,0.033,0.0,DLR
538,559,0.0,0.616,4.142,1.15,0.531,1.514,0.0,DLR
538,573,1.863,32.517,126.657,35.122,19.049,11.208,0.0,DLR
538,719,9.671,93.45,305.939,102.862,56.467,23.999,0.0,DLR
538,749,1.189,5.67,13.589,6.538,2.974,4.974,0.0,DLR
538,750,0.0,0.45,3.769,1.378,0.35799998,0.0,0.0,DLR
538,757,4.132,25.479,90.005,29.403,16.695,8.737,0.0,DLR
538,842,0.263,10.865,63.654,24.598,22.367,3.106,0.0,DLR
538,850,0.0,0.0,3.1,0.24599999,0.639,0.263,0.0,DLR
538,851,1.063,1.495,4.097,1.914,0.896,1.497,0.0,DLR
538,853,0.0,2.346,7.766,0.885,1.231,0.465,0.0,DLR
538,854,0.0,1.198,6.685,1.387,1.742,0.23799999,0.0,DLR
538,856,0.0,0.327,2.1200001,0.508,0.671,0.2,0.0,DLR
538,857,0.0,0.23,1.802,0.435,1.166,0.363,0.0,DLR
538,858,3.309,10.83,78.685,30.26,21.938,2.841,0.0,DLR
538,859,0.239,0.709,0.441,0.639,0.236,0.0,0.0,DLR
538,860,0.65999997,7.114,28.823,11.188,6.495,3.413,0.0,DLR
538,861,0.356,2.464,6.992,1.357,0.48000002,0.429,0.0,DLR
538,862,2.662,8.703,12.609,5.065,1.668,3.3569999,0.0,DLR
538,864,0.178,6.683,20.284,7.886,2.7680001,1.541,0.0,DLR
538,865,1.2360001,5.342,15.827,3.307,2.679,4.211,0.0,DLR
538,866,0.0,1.071,8.655,4.835,3.347,0.0,0.0,DLR
538,867,0.0,0.24700001,2.207,0.651,0.673,0.192,0.0,DLR
538,879,0.183,1.704,19.093,3.245,2.208,1.107,0.0,DLR
538,882,5.624,5.182,8.969,2.444,1.172,2.075,0.0,DLR
538,883,0.12,1.375,12.538,2.919,1.441,0.68299997,0.0,DLR
538,884,32.832,193.267,760.892,303.525,144.799,65.228,0.0,DLR
538,886,0.566,1.329,10.576,4.397,2.922,1.883,0.0,DLR
538,887,0.124000005,0.873,2.027,0.63,1.2179999,0.0,0.0,DLR
538,888,0.133,0.43199998,1.629,0.256,0.457,0.0,0.0,DLR
538,889,0.0,0.293,2.969,1.447,0.228,5.54,0.0,DLR
538,890,0.0,0.25,0.505,0.257,0.986,0.42900002,0.0,DLR
538,891,0.0,0.0,0.476,1.329,0.586,0.0,0.0,DLR
538,893,0.0,0.441,1.431,0.977,0.335,0.0,0.0,DLR
538,894,0.0,0.219,3.736,0.747,0.168,0.0,0.0,DLR
538,895,0.0,0.521,4.576,2.583,0.674,0.499,0.0,DLR
538,897,0.0,1.952,4.145,0.66,0.993,0.289,0.0,DLR
538,898,0.0,0.607,2.1759999,0.975,1.204,0.316,0.0,DLR
538,928,0.0,0.0,0.819,0.342,0.031,0.0,0.0,DLR
538,940,0.49,6.318,10.277,5.18,3.369,1.305,0.0,DLR
559,504,1.327,8.656,41.831,10.457,2.27,1.886,0.0,DLR
