lineId,modeName,created,modified,Services
276,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
277,bus,2023-01-25 11:01:30.957000+00:00,2023-01-25 11:01:30.957000+00:00,['Regular']
278,bus,2023-01-25 11:01:30.970000+00:00,2023-01-25 11:01:30.970000+00:00,['Regular']
279,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
28,bus,2023-01-25 11:01:30.957000+00:00,2023-01-25 11:01:30.957000+00:00,['Regular']
280,bus,2023-01-25 11:01:30.957000+00:00,2023-01-25 11:01:30.957000+00:00,['Regular']
281,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
282,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
283,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
284,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
285,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
286,bus,2023-01-25 11:01:30.957000+00:00,2023-01-25 11:01:30.957000+00:00,['Regular']
287,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
288,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
289,bus,2023-01-25 11:01:30.957000+00:00,2023-01-25 11:01:30.957000+00:00,['Regular']
29,bus,2023-01-25 11:01:30.957000+00:00,2023-01-25 11:01:30.957000+00:00,['Regular']
290,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
291,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
292,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
293,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
294,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
295,bus,2023-01-25 11:01:30.957000+00:00,2023-01-25 11:01:30.957000+00:00,['Regular']
296,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
297,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
298,bus,2023-01-25 11:01:30.957000+00:00,2023-01-25 11:01:30.957000+00:00,['Regular']
299,bus,2023-01-25 11:01:30.957000+00:00,2023-01-25 11:01:30.957000+00:00,['Regular']
3,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
30,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
300,bus,2023-01-25 11:01:30.957000+00:00,2023-01-25 11:01:30.957000+00:00,['Regular']
301,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
302,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
303,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
304,bus,2023-01-25 11:01:30.957000+00:00,2023-01-25 11:01:30.957000+00:00,['Regular']
306,bus,2023-01-25 11:01:30.957000+00:00,2023-01-25 11:01:30.957000+00:00,['Regular']
307,bus,2023-01-25 11:01:30.957000+00:00,2023-01-25 11:01:30.957000+00:00,['Regular']
308,bus,2023-01-25 11:01:30.957000+00:00,2023-01-25 11:01:30.957000+00:00,['Regular']
309,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
31,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
312,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
313,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
314,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
315,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
316,bus,2023-01-25 11:01:30.957000+00:00,2023-01-25 11:01:30.957000+00:00,['Regular']
317,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
318,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
319,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
32,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
320,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
321,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
322,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
323,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
324,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
325,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
326,bus,2023-01-25 11:01:30.957000+00:00,2023-01-25 11:01:30.957000+00:00,['Regular']
327,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
328,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
329,bus,2023-01-25 11:01:30.957000+00:00,2023-01-25 11:01:30.957000+00:00,['Regular']
33,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
330,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
331,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
332,bus,2023-01-25 11:01:30.957000+00:00,2023-01-25 11:01:30.957000+00:00,['Regular']
333,bus,2023-01-25 11:01:30.957000+00:00,2023-01-25 11:01:30.957000+00:00,['Regular']
335,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
336,bus,2023-01-25 11:01:30.957000+00:00,2023-01-25 11:01:30.957000+00:00,['Regular']
337,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
339,bus,2023-01-25 11:01:30.970000+00:00,2023-01-25 11:01:30.970000+00:00,['Regular']
34,bus,2023-01-25 11:01:30.957000+00:00,2023-01-25 11:01:30.957000+00:00,['Regular']
340,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
341,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
343,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
344,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
345,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
346,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
347,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
349,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
35,bus,2023-01-25 11:01:30.957000+00:00,2023-01-25 11:01:30.957000+00:00,['Regular']
350,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
352,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
353,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
354,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
355,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
356,bus,2023-01-25 11:01:30.957000+00:00,2023-01-25 11:01:30.957000+00:00,['Regular']
357,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
358,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
359,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
36,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
360,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
362,bus,2023-01-25 11:01:30.957000+00:00,2023-01-25 11:01:30.957000+00:00,['Regular']
363,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
364,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
365,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
366,bus,2023-01-25 11:01:30.957000+00:00,2023-01-25 11:01:30.957000+00:00,['Regular']
367,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
368,bus,2023-01-25 11:01:30.957000+00:00,2023-01-25 11:01:30.957000+00:00,['Regular']
37,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
370,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
371,bus,2023-01-25 11:01:30.970000+00:00,2023-01-25 11:01:30.970000+00:00,['Regular']
372,bus,2023-01-25 11:01:30.970000+00:00,2023-01-25 11:01:30.970000+00:00,['Regular']
375,bus,2023-01-25 11:01:30.957000+00:00,2023-01-25 11:01:30.957000+00:00,['Regular']
376,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
377,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
378,bus,2023-01-25 11:01:30.957000+00:00,2023-01-25 11:01:30.957000+00:00,['Regular']
379,bus,2023-01-25 11:01:30.957000+00:00,2023-01-25 11:01:30.957000+00:00,['Regular']
38,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
380,bus,2023-01-25 11:01:30.957000+00:00,2023-01-25 11:01:30.957000+00:00,['Regular']
381,bus,2023-01-25 11:01:30.970000+00:00,2023-01-25 11:01:30.970000+00:00,['Regular']
382,bus,2023-01-25 11:01:30.957000+00:00,2023-01-25 11:01:30.957000+00:00,['Regular']
383,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
384,bus,2023-01-25 11:01:30.957000+00:00,2023-01-25 11:01:30.957000+00:00,['Regular']
385,bus,2023-01-25 11:01:30.957000+00:00,2023-01-25 11:01:30.957000+00:00,['Regular']
386,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
388,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
389,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
39,bus,2023-01-25 11:01:30.957000+00:00,2023-01-25 11:01:30.957000+00:00,['Regular']
390,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
393,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
394,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
395,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
396,bus,2023-01-25 11:01:30.957000+00:00,2023-01-25 11:01:30.957000+00:00,['Regular']
397,bus,2023-01-25 11:01:30.957000+00:00,2023-01-25 11:01:30.957000+00:00,['Regular']
398,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
399,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
4,bus,2023-01-25 11:01:30.957000+00:00,2023-01-25 11:01:30.957000+00:00,['Regular']
40,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
401,bus,2023-01-25 11:01:30.957000+00:00,2023-01-25 11:01:30.957000+00:00,['Regular']
403,bus,2023-01-25 11:01:30.957000+00:00,2023-01-25 11:01:30.957000+00:00,['Regular']
404,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
405,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
406,bus,2023-01-25 11:01:30.957000+00:00,2023-01-25 11:01:30.957000+00:00,['Regular']
407,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
41,bus,2023-01-25 11:01:30.957000+00:00,2023-01-25 11:01:30.957000+00:00,['Regular']
410,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
411,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
412,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
413,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
414,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
415,bus,2023-01-25 11:01:30.957000+00:00,2023-01-25 11:01:30.957000+00:00,['Regular']
417,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
418,bus,2023-01-25 11:01:30.957000+00:00,2023-01-25 11:01:30.957000+00:00,['Regular']
419,bus,2023-01-25 11:01:30.957000+00:00,2023-01-25 11:01:30.957000+00:00,['Regular']
42,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
422,bus,2023-01-25 11:01:30.957000+00:00,2023-01-25 11:01:30.957000+00:00,['Regular']
423,bus,2023-01-25 11:01:30.957000+00:00,2023-01-25 11:01:30.957000+00:00,['Regular']
424,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
425,bus,2023-01-25 11:01:30.970000+00:00,2023-01-25 11:01:30.970000+00:00,['Regular']
427,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
428,bus,2023-01-25 11:01:30.957000+00:00,2023-01-25 11:01:30.957000+00:00,['Regular']
43,bus,2023-01-25 11:01:30.957000+00:00,2023-01-25 11:01:30.957000+00:00,['Regular']
430,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
432,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
433,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
434,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
436,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
44,bus,2023-01-25 11:01:30.957000+00:00,2023-01-25 11:01:30.957000+00:00,['Regular']
440,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
444,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
45,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
450,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
452,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
453,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
455,bus,2023-01-25 11:01:30.957000+00:00,2023-01-25 11:01:30.957000+00:00,['Regular']
456,bus,2023-01-25 11:01:30.957000+00:00,2023-01-25 11:01:30.957000+00:00,['Regular']
46,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
460,bus,2023-01-25 11:01:30.957000+00:00,2023-01-25 11:01:30.957000+00:00,['Regular']
462,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
463,bus,2023-01-25 11:01:30.970000+00:00,2023-01-25 11:01:30.970000+00:00,['Regular']
464,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
465,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
466,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
467,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
468,bus,2023-01-25 11:01:30.957000+00:00,2023-01-25 11:01:30.957000+00:00,['Regular']
469,bus,2023-01-25 11:01:30.957000+00:00,2023-01-25 11:01:30.957000+00:00,['Regular']
47,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
470,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
472,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
473,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
474,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
476,bus,2023-01-25 11:01:30.957000+00:00,2023-01-25 11:01:30.957000+00:00,['Regular']
481,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
482,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
483,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
484,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
485,bus,2023-01-25 11:01:30.940000+00:00,2023-01-25 11:01:30.940000+00:00,['Regular']
